자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수,gu_std,year,avg_jeonse,avg_monthly_rent,tx_count,area_band
강남구,2021,33,31264,6148,79,2437,강남구,2021,31264,79,2437,33㎡
강남구,2021,59,62179,25499,113,5444,강남구,2021,62179,113,5444,59㎡
강남구,2021,84,92054,51603,182,7590,강남구,2021,92054,182,7590,84㎡
강남구,2021,기타,137919,77724,266,4533,강남구,2021,137919,266,4533,기타
강동구,2021,33,20004,4986,23,3533,강동구,2021,20004,23,3533,33㎡
강동구,2021,59,39859,14456,49,6218,강동구,2021,39859,49,6218,59㎡
강동구,2021,84,57689,31108,105,4989,강동구,2021,57689,105,4989,84㎡
강동구,2021,기타,63664,42705,116,1069,강동구,2021,63664,116,1069,기타
강북구,2021,33,12440,3539,22,432,강북구,2021,12440,22,432,33㎡
강북구,2021,59,31760,9554,54,1129,강북구,2021,31760,54,1129,59㎡
강북구,2021,84,43717,15702,97,1023,강북구,2021,43717,97,1023,84㎡
강북구,2021,기타,51114,19239,108,187,강북구,2021,51114,108,187,기타
강서구,2021,33,19666,5173,36,3743,강서구,2021,19666,36,3743,33㎡
강서구,2021,59,36197,9307,43,5864,강서구,2021,36197,43,5864,59㎡
강서구,2021,84,50909,25267,92,4031,강서구,2021,50909,92,4031,84㎡
강서구,2021,기타,67124,37103,110,900,강서구,2021,67124,110,900,기타
관악구,2021,33,16418,3173,39,1326,관악구,2021,16418,39,1326,33㎡
관악구,2021,59,39555,14735,69,2129,관악구,2021,39555,69,2129,59㎡
관악구,2021,84,50384,21714,88,1771,관악구,2021,50384,88,1771,84㎡
관악구,2021,기타,60321,29491,92,545,관악구,2021,60321,92,545,기타
광진구,2021,33,16803,2671,56,301,광진구,2021,16803,56,301,33㎡
광진구,2021,59,50210,21744,90,1295,광진구,2021,50210,90,1295,59㎡
광진구,2021,84,65530,33290,107,1877,광진구,2021,65530,107,1877,84㎡
광진구,2021,기타,101039,42702,220,462,광진구,2021,101039,220,462,기타
구로구,2021,33,15554,4438,24,2031,구로구,2021,15554,24,2031,33㎡
구로구,2021,59,29436,11515,42,4718,구로구,2021,29436,42,4718,59㎡
구로구,2021,84,44079,20190,73,2801,구로구,2021,44079,73,2801,84㎡
구로구,2021,기타,50590,30659,105,561,구로구,2021,50590,105,561,기타
