gu_std,area_band,rent_type,deposit_median,deposit_mean,monthly_rent_median,count
강남구,33㎡,월세,3000.0,7279.373567608862,98.0,2618
강남구,33㎡,전세,30000.0,32023.11611030479,0.0,2756
강남구,59㎡,월세,25360.0,30829.791906861083,140.0,8847
강남구,59㎡,전세,66925.5,67115.59324942791,0.0,10488
강남구,84㎡,월세,50000.0,49250.97366761274,189.0,12684
강남구,84㎡,전세,85000.0,93008.56577422346,0.0,17256
강동구,33㎡,월세,8801.0,7663.229357798165,64.0,1090
강동구,33㎡,전세,27000.0,27717.86296296296,0.0,270
강동구,59㎡,월세,17294.0,20229.84486905398,70.0,7484
강동구,59㎡,전세,44000.0,43947.857168384064,0.0,16789
강동구,84㎡,월세,30000.0,30085.53933422899,120.0,6699
강동구,84㎡,전세,57750.0,58803.69613763245,0.0,17554
강북구,33㎡,월세,1349.0,2236.959216965742,15.0,613
강북구,33㎡,전세,4042.0,6337.758620689655,0.0,87
강북구,59㎡,월세,10000.0,13337.678119349006,85.0,1106
강북구,59㎡,전세,36000.0,36581.51851851852,0.0,2430
강북구,84㎡,월세,10000.0,15448.618118466899,110.0,1435
강북구,84㎡,전세,43000.0,43727.01378483668,0.0,3337
강서구,33㎡,월세,2000.0,4585.548058561426,60.0,1571
강서구,33㎡,전세,19950.0,20110.134787472034,0.0,1788
강서구,59㎡,월세,10915.0,15468.513877874702,56.0,5044
강서구,59㎡,전세,37000.0,37676.96823155665,0.0,14165
강서구,84㎡,월세,25000.0,26437.510398981325,105.0,4712
강서구,84㎡,전세,52000.0,52121.74958039611,0.0,14895
관악구,33㎡,월세,2310.0,3509.0834870848707,15.0,2168
관악구,33㎡,전세,19567.5,16252.092245989305,0.0,748
관악구,59㎡,월세,14000.0,16604.703547963207,90.0,3805
관악구,59㎡,전세,40793.0,41539.79946563752,0.0,6737
관악구,84㎡,월세,20000.0,22341.61945861122,100.0,2549
관악구,84㎡,전세,50000.0,51478.44870900209,0.0,5732
광진구,33㎡,월세,10900.0,10894.135135135135,56.0,259
광진구,33㎡,전세,29400.0,27882.872340425532,0.0,47
광진구,59㎡,월세,20000.0,23157.261562998407,100.0,1881
광진구,59㎡,전세,50000.0,52080.36620498615,0.0,3610
광진구,84㎡,월세,31250.0,34019.69795657726,125.0,3132
광진구,84㎡,전세,68000.0,69240.21232655695,0.0,6198
구로구,33㎡,월세,4410.0,4595.096989966555,20.0,897
구로구,33㎡,전세,14700.0,14893.831914893617,0.0,470
구로구,59㎡,월세,9659.0,13338.0912168181,40.0,5613
구로구,59㎡,전세,34000.0,33767.419622181595,0.0,8205
구로구,84㎡,월세,22726.0,22066.50620475698,74.0,3868
구로구,84㎡,전세,44500.0,45344.91938763306,0.0,8361
금천구,33㎡,월세,1000.0,1460.780701754386,14.0,228
금천구,33㎡,전세,13000.0,9900.81081081081,0.0,37
금천구,59㎡,월세,22000.0,17992.96173615077,53.0,3502
금천구,59㎡,전세,33000.0,36224.24579015544,0.0,3088
금천구,84㎡,월세,25000.0,20944.541878759832,66.0,2161
금천구,84㎡,전세,43000.0,45634.2325111201,0.0,2473
노원구,33㎡,월세,1000.0,2628.528724747475,45.0,3168
노원구,33㎡,전세,15000.0,14335.65044949762,0.0,1891
노원구,59㎡,월세,5000.0,9326.626827040194,76.5,6568
노원구,59㎡,전세,28875.0,30043.179821320617,0.0,14887
노원구,84㎡,월세,20000.0,20491.624561403507,100.0,3705
노원구,84㎡,전세,46000.0,47823.362994080584,0.0,10474
도봉구,33㎡,월세,1000.0,3574.6674418604653,55.0,430
도봉구,33㎡,전세,16600.0,16543.942446043166,0.0,278
도봉구,59㎡,월세,5000.0,8600.950775455158,74.0,1483
도봉구,59㎡,전세,27500.0,28121.15074798619,0.0,3476
도봉구,84㎡,월세,10000.0,13379.42486270594,100.0,2003
도봉구,84㎡,전세,38000.0,40257.909029192124,0.0,5892
동대문구,33㎡,월세,3515.0,7605.032437911809,15.0,1973
동대문구,33㎡,전세,25000.0,20650.80266075388,0.0,451
동대문구,59㎡,월세,13528.0,17182.274644175013,100.0,3794
동대문구,59㎡,전세,45500.0,46093.25356348895,0.0,7647
동대문구,84㎡,월세,20000.0,22068.590433127083,130.0,4202
동대문구,84㎡,전세,55000.0,55784.85140427436,0.0,8937
동작구,33㎡,월세,2578.0,5521.571153846154,17.0,1040
동작구,33㎡,전세,5300.0,15209.470989761092,0.0,293
동작구,59㎡,월세,20000.0,23852.644696969695,90.0,3960
동작구,59㎡,전세,50000.0,52037.11771995043,0.0,8070
동작구,84㎡,월세,30000.0,32725.411051212937,115.0,5936
동작구,84㎡,전세,66000.0,67452.76800375323,0.0,12789
마포구,33㎡,월세,2966.0,7835.933414043584,55.0,1652
마포구,33㎡,전세,26000.0,26400.587525150906,0.0,497
마포구,59㎡,월세,19502.0,22271.594779366067,110.0,6436
마포구,59㎡,전세,55000.0,54762.07691593126,0.0,10765
마포구,84㎡,월세,30000.0,29932.284393228056,150.0,7029
마포구,84㎡,전세,70000.0,72160.55437009218,0.0,11716
서대문구,33㎡,월세,7650.0,7190.839317245439,24.0,1699
서대문구,33㎡,전세,26250.0,21126.85177453027,0.0,479
서대문구,59㎡,월세,14561.0,18060.415021665864,100.0,4154
서대문구,59㎡,전세,45000.0,46449.89733790195,0.0,7588
서대문구,84㎡,월세,20000.0,25642.425542168676,120.0,4150
서대문구,84㎡,전세,59000.0,58765.360123155326,0.0,9419
서초구,33㎡,월세,3000.0,6818.128094725511,94.0,929
서초구,33㎡,전세,30000.0,33791.03448275862,0.0,783
서초구,59㎡,월세,27180.0,33488.115233192,90.0,6604
서초구,59㎡,전세,65000.0,68857.1424029818,0.0,9122
서초구,84㎡,월세,50000.0,54159.80397929144,200.0,9851
서초구,84㎡,전세,90000.0,101426.33593966233,0.0,14452
성동구,33㎡,월세,3000.0,6770.503003003003,16.0,666
성동구,33㎡,전세,3952.0,22789.93006993007,0.0,143
성동구,59㎡,월세,20000.0,22019.307323452485,146.5,6882
성동구,59㎡,전세,56000.0,57139.75776503808,0.0,11687
성동구,84㎡,월세,30000.0,31413.178021978023,168.0,6825
성동구,84㎡,전세,70300.0,73350.3956703182,0.0,11502
성북구,33㎡,월세,2525.0,3346.14625,14.0,1600
성북구,33㎡,전세,6753.0,11779.692307692309,0.0,533
성북구,59㎡,월세,10000.0,15521.476173913043,100.0,5750
성북구,59㎡,전세,42000.0,43050.10877429124,0.0,11887
성북구,84㎡,월세,20000.0,21781.445045434877,112.0,4622
성북구,84㎡,전세,51000.0,52181.915826185315,0.0,10609
송파구,33㎡,월세,6524.0,9600.782101167315,65.0,1285
송파구,33㎡,전세,39000.0,34446.773296244784,0.0,719
송파구,59㎡,월세,20000.0,24937.303556771545,88.0,7310
송파구,59㎡,전세,52500.0,55703.14690651403,0.0,11007
송파구,84㎡,월세,40000.0,40533.13548608725,150.0,14555
송파구,84㎡,전세,73000.0,77465.44164578112,0.0,23940
양천구,33㎡,월세,2081.0,3587.14935429534,12.0,1781
양천구,33㎡,전세,2923.0,5978.108571428572,0.0,175
양천구,59㎡,월세,10000.0,15837.174903308982,68.0,2327
양천구,59㎡,전세,37000.0,38363.96775862069,0.0,5800
양천구,84㎡,월세,30000.0,32935.93059200933,110.0,3429
양천구,84㎡,전세,57650.0,58056.37579491256,0.0,10064
영등포구,33㎡,월세,5000.0,8891.23382624769,43.0,1082
영등포구,33㎡,전세,26000.0,27758.307803468208,0.0,692
영등포구,59㎡,월세,20000.0,20372.02470713525,80.0,4695
영등포구,59㎡,전세,48000.0,48503.23655317733,0.0,9017
영등포구,84㎡,월세,25000.0,28977.882137628112,110.0,4098
영등포구,84㎡,전세,60000.0,60422.178287900526,0.0,10455
용산구,33㎡,월세,10000.0,8237.211688311689,53.0,770
용산구,33㎡,전세,6426.0,11800.479591836734,0.0,98
용산구,59㎡,월세,15000.0,20761.488250652743,135.0,2298
용산구,59㎡,전세,53000.0,53807.23769177925,0.0,4367
용산구,84㎡,월세,20000.0,26134.634615384617,170.0,2444
용산구,84㎡,전세,68000.0,68471.31080797482,0.0,4765
은평구,33㎡,월세,3781.0,5482.632075471698,18.0,1060
은평구,33㎡,전세,18900.0,15690.2,0.0,280
은평구,59㎡,월세,10000.0,15376.9275,90.0,4000
은평구,59㎡,전세,43000.0,42542.772216661106,0.0,8991
은평구,84㎡,월세,20000.0,22765.776624246482,112.0,2986
은평구,84㎡,전세,47200.0,47191.160998307954,0.0,11820
종로구,33㎡,월세,4000.0,8853.75956284153,45.0,183
종로구,33㎡,전세,15000.0,20421.204301075268,0.0,93
종로구,59㎡,월세,15000.0,20480.018072289156,129.0,664
종로구,59㎡,전세,46000.0,51144.44455747711,0.0,983
종로구,84㎡,월세,30000.0,33973.54720279721,157.5,1144
종로구,84㎡,전세,76000.0,81477.29197922678,0.0,1733
중구,33㎡,월세,4000.0,3899.4295774647885,45.0,994
중구,33㎡,전세,6542.0,15489.0,0.0,215
중구,59㎡,월세,10000.0,17291.97258566978,135.0,1605
중구,59㎡,전세,52920.0,53209.87735109718,0.0,2552
중구,84㎡,월세,20000.0,23740.330439500813,160.0,1843
중구,84㎡,전세,66150.0,67198.55449059283,0.0,2817
중랑구,33㎡,월세,6080.0,7120.147753236862,39.0,1313
중랑구,33㎡,전세,19000.0,19144.133333333335,0.0,495
중랑구,59㎡,월세,9856.0,11829.971121558092,42.0,2978
중랑구,59㎡,전세,31000.0,31374.629109045567,0.0,4411
중랑구,84㎡,월세,20000.0,20198.750253292805,95.0,1974
중랑구,84㎡,전세,45000.0,46030.27093059446,0.0,6426
