gu_std,jeonse_median,under_3eok,under_5eok,over_5eok
노원구,26250.0,True,True,False
도봉구,28350.0,True,True,False
금천구,33107.0,False,True,False
구로구,36000.0,False,True,False
중랑구,36000.0,False,True,False
강북구,37800.0,False,True,False
강서구,38680.0,False,True,False
은평구,43500.0,False,True,False
관악구,44100.0,False,True,False
성북구,46200.0,False,True,False
동대문구,48000.0,False,True,False
양천구,48500.0,False,True,False
강동구,49350.0,False,True,False
서대문구,50000.0,False,True,False
영등포구,50400.0,False,False,True
중구,57750.0,False,False,True
광진구,60000.0,False,False,True
동작구,60000.0,False,False,True
종로구,60000.0,False,False,True
마포구,60000.0,False,False,True
성동구,63000.0,False,False,True
용산구,63000.0,False,False,True
송파구,64000.0,False,False,True
강남구,78000.0,False,False,True
서초구,80000.0,False,False,True
