gu_std,year,area_band,jeonse_price,jeonse_count,sale_price,sale_count,jeonse_ratio_pct,risk_band
영등포구,2022,기타,44100.0,2770,17500.0,406,252.0,위험(80+)
종로구,2022,기타,39000.0,457,19500.0,117,200.0,위험(80+)
강동구,2026,33㎡,29000.0,6,17000.0,7,170.58823529411765,위험(80+)
강동구,2022,기타,39900.0,2204,23700.0,217,168.35443037974684,위험(80+)
동대문구,2022,기타,35000.0,1534,23500.0,260,148.93617021276594,위험(80+)
중구,2022,기타,39900.0,781,28850.0,126,138.30155979202775,위험(80+)
마포구,2026,33㎡,37590.0,13,27500.0,3,136.6909090909091,위험(80+)
종로구,2023,33㎡,25410.0,28,18900.0,5,134.44444444444446,위험(80+)
관악구,2022,기타,40250.0,1040,33000.0,203,121.96969696969697,위험(80+)
강동구,2022,33㎡,25300.0,71,22750.0,20,111.20879120879121,위험(80+)
구로구,2022,기타,27300.0,2079,25500.0,423,107.05882352941177,위험(80+)
강동구,2023,33㎡,27000.0,51,25750.0,16,104.85436893203884,위험(80+)
구로구,2024,33㎡,15500.0,91,16000.0,33,96.875,위험(80+)
동작구,2022,기타,59000.0,1292,61000.0,220,96.72131147540983,위험(80+)
마포구,2021,33㎡,26000.0,102,27200.0,49,95.58823529411765,위험(80+)
마포구,2022,33㎡,26000.0,87,27500.0,31,94.54545454545455,위험(80+)
강북구,2026,기타,42500.0,66,45000.0,33,94.44444444444444,위험(80+)
서초구,2022,33㎡,30900.0,177,32800.0,38,94.20731707317073,위험(80+)
강북구,2022,기타,21500.0,683,22900.0,100,93.88646288209607,위험(80+)
광진구,2022,기타,58250.0,836,62600.0,152,93.05111821086261,위험(80+)
마포구,2025,33㎡,27500.0,78,30000.0,49,91.66666666666666,위험(80+)
마포구,2023,33㎡,26000.0,118,29500.0,32,88.13559322033898,위험(80+)
영등포구,2021,33㎡,35000.0,163,39800.0,44,87.93969849246231,위험(80+)
마포구,2024,33㎡,26000.0,99,29600.0,57,87.83783783783784,위험(80+)
광진구,2025,33㎡,29000.0,5,33200.0,5,87.34939759036145,위험(80+)
광진구,2023,33㎡,31150.0,14,35850.0,6,86.88981868898186,위험(80+)
종로구,2025,33㎡,46000.0,9,53250.0,6,86.3849765258216,위험(80+)
서초구,2021,33㎡,29400.0,153,34100.0,90,86.21700879765396,위험(80+)
성북구,2022,기타,47200.0,1243,55000.0,160,85.81818181818181,위험(80+)
강동구,2021,33㎡,26000.0,59,30300.0,43,85.8085808580858,위험(80+)
은평구,2022,기타,35000.0,1587,40800.0,363,85.7843137254902,위험(80+)
중구,2021,기타,51000.0,615,59500.0,281,85.71428571428571,위험(80+)
구로구,2025,33㎡,15000.0,69,17800.0,43,84.26966292134831,위험(80+)
중구,2025,33㎡,28350.0,14,34000.0,11,83.38235294117648,위험(80+)
종로구,2021,33㎡,16000.0,15,19500.0,8,82.05128205128204,위험(80+)
서대문구,2022,기타,45000.0,1004,55000.0,135,81.81818181818183,위험(80+)
광진구,2022,33㎡,31500.0,11,38625.0,2,81.55339805825243,위험(80+)
서초구,2025,33㎡,31250.0,146,38900.0,63,80.33419023136247,위험(80+)
중랑구,2022,기타,26200.0,1459,32625.0,274,80.3065134099617,위험(80+)
중구,2023,33㎡,27000.0,35,34000.0,7,79.41176470588235,주의(60~80)
서대문구,2024,기타,50000.0,847,63000.0,541,79.36507936507937,주의(60~80)
은평구,2025,33㎡,23050.0,36,29250.0,8,78.80341880341881,주의(60~80)
종로구,2026,59㎡,50000.0,18,64750.0,4,77.22007722007721,주의(60~80)
광진구,2024,33㎡,24900.0,8,32325.0,6,77.03016241299304,주의(60~80)
광진구,2021,33㎡,25700.0,9,34000.0,9,75.58823529411765,주의(60~80)
서초구,2023,33㎡,29400.0,149,39000.0,35,75.38461538461539,주의(60~80)
구로구,2023,33㎡,14000.0,109,18600.0,25,75.26881720430107,주의(60~80)
동대문구,2026,33㎡,29675.0,4,39500.0,5,75.12658227848101,주의(60~80)
서초구,2024,33㎡,31000.0,149,42000.0,45,73.80952380952381,주의(60~80)
서대문구,2022,33㎡,25000.0,135,34000.0,15,73.52941176470588,주의(60~80)
은평구,2023,기타,36750.0,1621,50000.0,516,73.5,주의(60~80)
은평구,2023,33㎡,22400.0,47,30500.0,13,73.44262295081967,주의(60~80)
강동구,2025,33㎡,28500.0,49,39040.0,77,73.00204918032787,주의(60~80)
영등포구,2025,33㎡,27650.0,136,37900.0,38,72.95514511873351,주의(60~80)
영등포구,2026,33㎡,27000.0,13,37375.0,2,72.24080267558529,주의(60~80)
금천구,2024,33㎡,15000.0,7,21000.0,6,71.42857142857143,주의(60~80)
관악구,2021,기타,42750.0,794,59900.0,523,71.36894824707846,주의(60~80)
종로구,2024,33㎡,14000.0,11,19675.0,6,71.15628970775096,주의(60~80)
금천구,2025,33㎡,15000.0,4,21100.0,2,71.09004739336493,주의(60~80)
종로구,2025,기타,53482.0,435,75750.0,358,70.60330033003301,주의(60~80)
광진구,2026,기타,66600.0,92,96000.0,41,69.375,주의(60~80)
도봉구,2025,84㎡,40000.0,1290,57750.0,608,69.26406926406926,주의(60~80)
도봉구,2022,33㎡,18000.0,69,26000.0,3,69.23076923076923,주의(60~80)
서대문구,2021,33㎡,26225.0,78,38150.0,40,68.74180865006552,주의(60~80)
금천구,2022,기타,21500.0,850,31450.0,172,68.362480127186,주의(60~80)
도봉구,2025,33㎡,17000.0,42,24900.0,12,68.27309236947792,주의(60~80)
강남구,2022,33㎡,29000.0,539,42500.0,85,68.23529411764706,주의(60~80)
송파구,2021,33㎡,40700.0,135,60000.0,48,67.83333333333333,주의(60~80)
중랑구,2025,84㎡,49000.0,1481,72350.0,730,67.72633033863164,주의(60~80)
강동구,2024,33㎡,27000.0,34,40127.0,70,67.28636578862113,주의(60~80)
금천구,2021,84㎡,45000.0,381,67000.0,289,67.16417910447761,주의(60~80)
은평구,2024,기타,39375.0,1194,58700.0,553,67.07836456558773,주의(60~80)
강동구,2021,기타,33500.0,2855,50000.0,822,67.0,주의(60~80)
동대문구,2023,33㎡,25500.0,102,38100.0,25,66.92913385826772,주의(60~80)
금천구,2024,84㎡,44000.0,491,66000.0,235,66.66666666666666,주의(60~80)
중랑구,2025,33㎡,20000.0,77,30000.0,48,66.66666666666666,주의(60~80)
중구,2023,기타,50000.0,1026,75000.0,277,66.66666666666666,주의(60~80)
중랑구,2024,33㎡,20000.0,103,30000.0,48,66.66666666666666,주의(60~80)
서대문구,2026,기타,64500.0,84,97400.0,78,66.22176591375771,주의(60~80)
도봉구,2024,84㎡,38000.0,1075,57500.0,576,66.08695652173913,주의(60~80)
은평구,2025,기타,40900.0,1209,61900.0,784,66.07431340872375,주의(60~80)
강북구,2023,기타,25000.0,592,38000.0,281,65.78947368421053,주의(60~80)
구로구,2022,33㎡,15000.0,105,22800.0,37,65.78947368421053,주의(60~80)
금천구,2026,84㎡,49000.0,54,74700.0,39,65.59571619812584,주의(60~80)
동대문구,2025,33㎡,26000.0,89,39750.0,44,65.40880503144653,주의(60~80)
종로구,2026,기타,58800.0,55,90250.0,34,65.15235457063712,주의(60~80)
도봉구,2023,84㎡,35700.0,1312,54800.0,377,65.14598540145985,주의(60~80)
중랑구,2023,기타,28000.0,1531,43000.0,382,65.11627906976744,주의(60~80)
은평구,2026,기타,43000.0,118,66150.0,76,65.00377928949358,주의(60~80)
강북구,2024,84㎡,44000.0,616,67900.0,354,64.80117820324006,주의(60~80)
동대문구,2024,33㎡,25500.0,70,39500.0,43,64.55696202531645,주의(60~80)
금천구,2026,59㎡,39000.0,66,60500.0,54,64.46280991735537,주의(60~80)
동대문구,2024,기타,42990.0,1363,66700.0,829,64.4527736131934,주의(60~80)
강북구,2024,59㎡,38000.0,508,59000.0,282,64.40677966101694,주의(60~80)
중랑구,2023,84㎡,44000.0,1597,68500.0,303,64.23357664233576,주의(60~80)
동대문구,2024,59㎡,48000.0,1474,75000.0,759,64.0,주의(60~80)
은평구,2021,기타,33000.0,1190,51700.0,681,63.829787234042556,주의(60~80)
관악구,2025,기타,49875.0,743,78500.0,585,63.53503184713376,주의(60~80)
동대문구,2026,84㎡,65000.0,220,102500.0,138,63.41463414634146,주의(60~80)
동대문구,2026,59㎡,55000.0,177,86750.0,82,63.40057636887608,주의(60~80)
성북구,2024,59㎡,45000.0,2383,71000.0,1332,63.38028169014085,주의(60~80)
중랑구,2024,84㎡,45000.0,1182,71000.0,598,63.38028169014085,주의(60~80)
양천구,2022,59㎡,38000.0,1094,60000.0,71,63.33333333333333,주의(60~80)
동대문구,2023,기타,38000.0,1479,60000.0,520,63.33333333333333,주의(60~80)
종로구,2024,84㎡,79000.0,310,125000.0,131,63.2,주의(60~80)
동대문구,2023,84㎡,54500.0,2095,86250.0,500,63.18840579710145,주의(60~80)
금천구,2023,84㎡,41000.0,581,65000.0,199,63.07692307692307,주의(60~80)
구로구,2026,84㎡,50000.0,198,79350.0,150,63.011972274732194,주의(60~80)
중랑구,2025,기타,34650.0,1117,55000.0,813,63.0,주의(60~80)
