gu_std,year,rent_type,avg_deposit,avg_monthly_rent,tx_count
강남구,2021,월세,30000.0,130.0,7815
강남구,2021,전세,78750.0,0.0,9620
강남구,2022,월세,27000.0,120.0,11308
강남구,2022,전세,75000.0,0.0,11297
강남구,2023,월세,20000.0,120.0,14173
강남구,2023,전세,74525.0,0.0,15396
강남구,2024,월세,22000.0,140.0,10668
강남구,2024,전세,80000.0,0.0,12101
강남구,2025,월세,25000.0,150.0,11116
강남구,2025,전세,80000.0,0.0,12333
강남구,2026,월세,30000.0,160.0,1095
강남구,2026,전세,80000.0,0.0,1276
강동구,2021,월세,7981.0,29.0,5979
강동구,2021,전세,45000.0,0.0,8080
강동구,2022,월세,10000.0,50.0,6141
강동구,2022,전세,48786.0,0.0,7826
강동구,2023,월세,8900.0,38.0,8039
강동구,2023,전세,45000.0,0.0,11257
강동구,2024,월세,10000.0,65.0,6294
강동구,2024,전세,52560.0,0.0,10070
강동구,2025,월세,8900.0,42.0,8514
강동구,2025,전세,52000.0,0.0,10422
강동구,2026,월세,12325.0,65.0,762
강동구,2026,전세,60000.0,0.0,1019
강북구,2021,월세,5000.0,45.0,944
강북구,2021,전세,36750.0,0.0,1486
강북구,2022,월세,5000.0,53.0,1537
강북구,2022,전세,37000.0,0.0,1869
강북구,2023,월세,5000.0,62.0,1581
강북구,2023,전세,35000.0,0.0,1908
강북구,2024,월세,3000.0,70.0,1471
강북구,2024,전세,39000.0,0.0,1748
강북구,2025,월세,3000.0,69.0,1546
강북구,2025,전세,40000.0,0.0,1599
강북구,2026,월세,4932.0,80.0,160
강북구,2026,전세,44100.0,0.0,166
강서구,2021,월세,6000.0,36.0,4919
강서구,2021,전세,38000.0,0.0,7754
강서구,2022,월세,8185.0,50.0,5461
강서구,2022,전세,34000.0,0.0,10983
강서구,2023,월세,8000.0,53.0,5729
강서구,2023,전세,38500.0,0.0,9989
강서구,2024,월세,8320.0,48.0,5656
강서구,2024,전세,38150.0,0.0,9907
강서구,2025,월세,8727.0,57.0,6516
강서구,2025,전세,44000.0,0.0,8413
강서구,2026,월세,8500.0,51.0,771
강서구,2026,전세,47250.0,0.0,861
관악구,2021,월세,6000.0,55.0,1994
관악구,2021,전세,43500.0,0.0,2920
관악구,2022,월세,9500.0,55.0,3601
