gu_std,year,rent_type,count,ratio_pct
강남구,2021,월세,7815,44.823630628047034
강남구,2021,전세,9620,55.17636937195297
강남구,2022,월세,11308,50.02433090024331
강남구,2022,전세,11297,49.97566909975669
강남구,2023,월세,14173,47.93195576448308
강남구,2023,전세,15396,52.06804423551693
강남구,2024,월세,10668,46.853177565988844
강남구,2024,전세,12101,53.146822434011156
강남구,2025,월세,11116,47.405006610089984
강남구,2025,전세,12333,52.594993389910016
강남구,2026,월세,1095,46.18304512863771
강남구,2026,전세,1276,53.8169548713623
강동구,2021,월세,5979,42.527918059605945
강동구,2021,전세,8080,57.47208194039405
강동구,2022,월세,6141,43.96792439321257
강동구,2022,전세,7826,56.03207560678742
강동구,2023,월세,8039,41.66148424543947
강동구,2023,전세,11257,58.338515754560525
강동구,2024,월세,6294,38.46247861158641
강동구,2024,전세,10070,61.537521388413595
강동구,2025,월세,8514,44.961977186311785
강동구,2025,전세,10422,55.038022813688215
강동구,2026,월세,762,42.784952274003366
강동구,2026,전세,1019,57.21504772599663
강북구,2021,월세,944,38.8477366255144
강북구,2021,전세,1486,61.15226337448559
강북구,2022,월세,1537,45.12624779800352
강북구,2022,전세,1869,54.873752201996474
강북구,2023,월세,1581,45.313843508168524
강북구,2023,전세,1908,54.686156491831476
강북구,2024,월세,1471,45.69742155949052
강북구,2024,전세,1748,54.30257844050948
강북구,2025,월세,1546,49.15739268680445
강북구,2025,전세,1599,50.84260731319555
강북구,2026,월세,160,49.079754601226995
강북구,2026,전세,166,50.920245398773
강서구,2021,월세,4919,38.81480312475341
강서구,2021,전세,7754,61.18519687524658
강서구,2022,월세,5461,33.209681342738996
강서구,2022,전세,10983,66.79031865726101
강서구,2023,월세,5729,36.448657590024176
강서구,2023,전세,9989,63.55134240997582
강서구,2024,월세,5656,36.34260746642678
강서구,2024,전세,9907,63.65739253357322
강서구,2025,월세,6516,43.64659387768772
강서구,2025,전세,8413,56.35340612231228
강서구,2026,월세,771,47.24264705882353
강서구,2026,전세,861,52.75735294117647
관악구,2021,월세,1994,40.57794057794058
관악구,2021,전세,2920,59.42205942205943
관악구,2022,월세,3601,49.60055096418733
관악구,2022,전세,3659,50.39944903581267
관악구,2023,월세,3265,46.00535437508807
관악구,2023,전세,3832,53.99464562491193
관악구,2024,월세,3451,50.71271124173402
관악구,2024,전세,3354,49.28728875826598
관악구,2025,월세,3007,45.69214405105607
관악구,2025,전세,3574,54.30785594894393
관악구,2026,월세,388,54.49438202247191
관악구,2026,전세,324,45.50561797752809
광진구,2021,월세,1115,33.105700712589076
광진구,2021,전세,2253,66.89429928741093
광진구,2022,월세,1943,41.686333404848746
광진구,2022,전세,2718,58.31366659515126
광진구,2023,월세,2095,38.810670618747686
광진구,2023,전세,3303,61.189329381252314
광진구,2024,월세,1797,40.35481697731866
광진구,2024,전세,2656,59.64518302268134
광진구,2025,월세,2399,43.53901996370236
광진구,2025,전세,3111,56.460980036297634
광진구,2026,월세,268,46.77137870855148
광진구,2026,전세,305,53.22862129144852
구로구,2021,월세,3730,45.08097655305777
구로구,2021,전세,4544,54.91902344694223
구로구,2022,월세,6175,52.75523280649295
구로구,2022,전세,5530,47.244767193507045
구로구,2023,월세,5472,47.94952681388013
구로구,2023,전세,5940,52.05047318611987
구로구,2024,월세,5385,50.87387812942844
구로구,2024,전세,5200,49.126121870571566
구로구,2025,월세,5510,52.39634842145302
구로구,2025,전세,5006,47.60365157854697
구로구,2026,월세,564,47.95918367346938
구로구,2026,전세,612,52.04081632653062
금천구,2021,월세,2280,58.83870967741935
금천구,2021,전세,1595,41.16129032258065
금천구,2022,월세,1110,35.67984570877532
금천구,2022,전세,2001,64.32015429122468
금천구,2023,월세,2543,55.25858322468492
금천구,2023,전세,2059,44.74141677531508
금천구,2024,월세,1227,40.777666999002996
금천구,2024,전세,1782,59.222333000997004
금천구,2025,월세,2311,58.079919577783365
금천구,2025,전세,1668,41.920080422216635
금천구,2026,월세,186,50.27027027027027
금천구,2026,전세,184,49.72972972972973
노원구,2021,월세,5273,35.39401261914351
노원구,2021,전세,9625,64.60598738085649
노원구,2022,월세,7860,39.4143014742754
노원구,2022,전세,12082,60.585698525724595
노원구,2023,월세,7676,37.442075996292864
노원구,2023,전세,12825,62.557924003707136
노원구,2024,월세,7231,38.71606789098892
노원구,2024,전세,11446,61.28393210901108
노원구,2025,월세,7603,40.512601907603774
노원구,2025,전세,11164,59.487398092396226
노원구,2026,월세,1059,42.75333064190553
노원구,2026,전세,1418,57.24666935809447
도봉구,2021,월세,1495,30.27541514783313
도봉구,2021,전세,3443,69.72458485216687
도봉구,2022,월세,2576,38.61490031479538
도봉구,2022,전세,4095,61.385099685204615
도봉구,2023,월세,2227,34.214165002304505
도봉구,2023,전세,4282,65.7858349976955
도봉구,2024,월세,2235,37.01556806889699
도봉구,2024,전세,3803,62.98443193110301
도봉구,2025,월세,2202,36.82890115403914
도봉구,2025,전세,3777,63.17109884596086
도봉구,2026,월세,293,43.08823529411765
도봉구,2026,전세,387,56.91176470588235
동대문구,2021,월세,2417,40.229693741677764
동대문구,2021,전세,3591,59.770306258322236
동대문구,2022,월세,3802,45.45671927307509
동대문구,2022,전세,4562,54.54328072692491
