gu_std,clCdNm,hospital_count
강남구,병원,34
강남구,보건소,1
강남구,상급종합,2
강남구,약국,558
강남구,요양병원,6
강남구,의원,2119
강남구,종합병원,2
강남구,치과병원,12
강남구,치과의원,519
강남구,한방병원,9
강남구,한의원,397
강동구,병원,17
강동구,보건소,1
강동구,약국,308
강동구,요양병원,5
강동구,의원,475
강동구,종합병원,3
강동구,치과병원,3
강동구,치과의원,247
강동구,한방병원,10
강동구,한의원,197
강북구,병원,8
강북구,보건소,1
강북구,약국,167
강북구,요양병원,4
강북구,의원,244
강북구,종합병원,2
강북구,치과병원,1
강북구,치과의원,122
강북구,한방병원,2
강북구,한의원,94
강서구,병원,20
강서구,보건소,1
강서구,약국,293
강서구,요양병원,5
강서구,의원,491
강서구,정신병원,1
강서구,종합병원,4
강서구,치과병원,3
강서구,치과의원,244
강서구,한방병원,8
강서구,한의원,203
관악구,병원,11
관악구,보건소,1
관악구,약국,242
관악구,요양병원,2
관악구,의원,360
관악구,종합병원,1
관악구,치과병원,1
관악구,치과의원,204
관악구,한방병원,4
관악구,한의원,138
광진구,병원,4
광진구,보건소,1
광진구,상급종합,1
광진구,약국,198
광진구,요양병원,2
광진구,의원,315
광진구,정신병원,1
광진구,종합병원,1
광진구,치과병원,2
광진구,치과의원,153
광진구,한방병원,2
광진구,한의원,118
구로구,병원,9
구로구,보건소,1
구로구,보건지소,1
구로구,상급종합,1
구로구,약국,201
구로구,요양병원,7
구로구,의원,306
구로구,정신병원,1
구로구,종합병원,1
구로구,치과병원,1
구로구,치과의원,170
구로구,한방병원,2
구로구,한의원,119
금천구,병원,5
금천구,보건소,1
금천구,약국,143
금천구,요양병원,3
금천구,의원,177
금천구,정신병원,1
금천구,종합병원,1
금천구,치과의원,110
금천구,한방병원,4
금천구,한의원,74
노원구,병원,5
노원구,보건소,1
노원구,보건지소,1
노원구,약국,235
노원구,요양병원,7
노원구,의원,399
노원구,종합병원,3
노원구,치과병원,3
노원구,치과의원,198
노원구,한방병원,4
노원구,한의원,147
도봉구,병원,4
도봉구,보건소,1
도봉구,약국,125
도봉구,요양병원,6
도봉구,의원,176
도봉구,정신병원,2
도봉구,종합병원,1
도봉구,치과병원,1
도봉구,치과의원,106
도봉구,한방병원,4
도봉구,한의원,84
동대문구,병원,12
동대문구,보건소,1
동대문구,상급종합,1
동대문구,약국,256
동대문구,요양병원,5
동대문구,의원,292
동대문구,정신병원,3
동대문구,조산원,1
동대문구,종합병원,3
동대문구,치과병원,4
동대문구,치과의원,165
동대문구,한방병원,3
동대문구,한의원,148
동작구,병원,5
동작구,보건소,1
동작구,상급종합,1
동작구,약국,204
동작구,요양병원,1
동작구,의원,297
동작구,종합병원,1
동작구,치과병원,2
동작구,치과의원,174
동작구,한방병원,2
동작구,한의원,132
마포구,병원,6
마포구,보건소,1
마포구,약국,225
마포구,요양병원,3
마포구,의원,437
마포구,치과병원,3
마포구,치과의원,195
마포구,한방병원,3
마포구,한의원,151
서대문구,병원,3
서대문구,보건소,1
서대문구,보건지소,1
서대문구,상급종합,1
서대문구,약국,161
서대문구,요양병원,5
서대문구,의원,213
서대문구,종합병원,1
서대문구,치과병원,2
서대문구,치과의원,128
서대문구,한방병원,3
서대문구,한의원,91
서초구,병원,14
서초구,보건소,1
서초구,보건지소,2
서초구,상급종합,1
서초구,약국,320
서초구,요양병원,4
서초구,의원,962
서초구,종합병원,1
서초구,치과병원,5
서초구,치과의원,314
서초구,한방병원,6
서초구,한의원,263
성동구,병원,4
성동구,보건소,1
성동구,상급종합,1
성동구,약국,161
성동구,요양병원,3
성동구,의원,252
성동구,종합병원,1
성동구,치과병원,1
성동구,치과의원,125
성동구,한방병원,1
성동구,한의원,99
성북구,병원,6
성북구,보건소,1
성북구,보건지소,2
성북구,상급종합,1
성북구,약국,204
성북구,요양병원,8
성북구,의원,271
성북구,치과의원,150
성북구,한방병원,2
성북구,한의원,121
송파구,병원,22
송파구,보건소,1
송파구,보건지소,1
송파구,상급종합,1
송파구,약국,406
송파구,요양병원,8
송파구,의원,660
송파구,정신병원,1
송파구,종합병원,1
