totCnt,rn,ykiho,clCd,clCdNm,regNo,yadmNm,postNo,hospUrlAddr,sidoPlcCd,sidoCdNm,sgguPlcCd,sgguCdNm,addr,yadmGdTelnoTxt,xaxsWgs84Cordnt,yaxsWgs84Cordnt,corptype,distance,cabgGrd,acphCrstGrd,acteMcdiGrd,pnemGrd,chronClsAttrLungDsGrd,asthGrd,blddGrd,livcnrCd,dgrsltLivcnrGrd,laicnrGrd,stmcnrGrd,bstcnrGrd,lungCnrGrd,pafsGrd,mdsItmCntGrd,ijctmPrscGrd,anboPrscGrd,alriAnboPrscGrd,recuHospGrd,sprmGrd,nicuGrd,soprDiagGrd,nctGrd,bltsGrd,cbpregAsgTyCd,ininGrd,exfrGrd,cbpregAsmExsRsCd,maidPsydeptGrd,psychiHthIpatTritGrd,glomSymtGrd,dmtiaGrd,tberclGrd,imgExmGrd,hytenDbmlGrd,grdList,gu_std,lat_num,lon_num,source
25497,1,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjNDEjJDEjJDQjJDgz,31,의원,,삼성물산(주)부속의원,5288,,110000,서울,110002,강동구,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",02-2145-7070,127.1752267,37.5487917,C,75425,,,,,,0.0,,,,,,,,,2.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,5.0,"[{'grdNm': 'asthGrd', 'grdVal': '0'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '1'}, {'grdNm': 'mdsItmCntGrd', 'grdVal': '2'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '0'}, {'grdNm': 'anboPrscGrd', 'grdVal': '3'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '5'}]",강동구,37.5487917,127.1752267,csv
25497,2,JDQ4MTg4MSM1MSMkMSMkNCMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,51,치과의원,,삼성물산(주)부속치과의원,5288,,110000,서울,110002,강동구,"서울특별시 강동구 상일로6길 26, 글로벌엔지니어링센터 B1층 (상일동)",02-2145-7101,127.1752267,37.5487917,C,75425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5487917,127.1752267,csv
25497,3,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjODEjJDEjJDYjJDgz,31,의원,,삼성이앤에이(주) 부속의원,5288,,110000,서울,110002,강동구,"서울특별시 강동구 상일로6길 26, 지1층 (상일동)",02-2053-7581,127.1752267,37.5487917,C,75425,,,,,,3.0,,,,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,5.0,"[{'grdNm': 'mdsItmCntGrd', 'grdVal': '1'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '2'}, {'grdNm': 'asthGrd', 'grdVal': '3'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '1'}, {'grdNm': 'anboPrscGrd', 'grdVal': '3'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '5'}]",강동구,37.5487917,127.1752267,csv
25497,4,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMzUxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,81,약국,,서울마이팜약국,5288,,110000,서울,110002,강동구,"서울특별시 강동구 상일로6길 26, 삼성엔지니어링 지하1층 (상일동)",02-429-5862,127.1752267,37.5487917,C,75425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5487917,127.1752267,csv
25497,5,JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE0ODEjNTEjJDEjJDYjJDgz,51,치과의원,,서울프라임치과의원,5288,,110000,서울,110002,강동구,"서울특별시 강동구  상일로6길 26, (상일동)",02-442-3228,127.1752267,37.5487917,C,75425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5487917,127.1752267,csv
25497,6,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzExIyQxIyQzIyQwMyQ0NjEwMDIjODEjJDEjJDIjJDgz,81,약국,,구인약국,5749,,110000,서울,110018,송파구,"서울특별시 송파구 성내천로 261, (마천동)",02-443-6401,127.1543724,37.497237,C,75512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.497237,127.1543724,csv
25497,7,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,31,의원,,정가정의원,5749,,110000,서울,110018,송파구,"서울특별시 송파구 성내천로 261, (마천동, 2층)",02-431-1456,127.1543724,37.497237,C,75512,,,,,0.0,4.0,,,,,,,,,3.0,5.0,2.0,2.0,,,,,,,,,,,,,4.0,,,,1.0,"[{'grdNm': 'chronClsAttrLungDsGrd', 'grdVal': '0'}, {'grdNm': 'mdsItmCntGrd', 'grdVal': '3'}, {'grdNm': 'asthGrd', 'grdVal': '4'}, {'grdNm': 'anboPrscGrd', 'grdVal': '2'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '2'}, {'grdNm': 'glomSymtGrd', 'grdVal': '4'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '1'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '5'}]",송파구,37.497237,127.1543724,csv
25497,8,JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxNzAyIzExIyQxIyQzIyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,93,한의원,,경희나봄한의원,5759,,110000,서울,110018,송파구,"서울특별시 송파구 마천로57길 20, 2층,3층 (마천동)",02-403-1010,127.1532667,37.4952153,C,75550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.4952153,127.1532667,csv
25497,9,JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQxIyQ5IyQxMyQyNjE0ODEjODEjJDEjJDYjJDgz,51,치과의원,,성안치과의원,5216,,110000,서울,110002,강동구,"서울특별시 강동구 고덕로97길 29, (강일동, 강일리버파크9단지상가 203호)",426-1254,127.1788624,37.5605657,C,75566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5605657,127.1788624,csv
25497,10,JDQ4MTg4MSM1MSMkMSMkOCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,81,약국,,리엔약국,5287,,110000,서울,110002,강동구,"서울특별시 강동구 상일로 74, 상가2동 2층 203호 (상일동, 고덕리엔파크3단지아파트)",02-441-9377,127.1752949,37.5531625,C,75581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5531625,127.1752949,csv
25497,11,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDAjJDgz,31,의원,,상일에이치(H)내과의원,5287,,110000,서울,110002,강동구,"서울특별시 강동구 상일로 74, 2층 (상일동, 고덕리엔파크3단지아파트)",02-481-7575,127.1752949,37.5531625,C,75581,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,1.0,"[{'grdNm': 'asthGrd', 'grdVal': '1'}, {'grdNm': 'mdsItmCntGrd', 'grdVal': '1'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '1'}, {'grdNm': 'anboPrscGrd', 'grdVal': '3'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '1'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '4'}]",강동구,37.5531625,127.1752949,csv
25497,12,JDQ4MTg4MSM1MSMkMSMkMCMkNjIkMzgxMzUxIzExIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,41,치과병원,,연세미래엔미소치과병원,5288,,110000,서울,110002,강동구,"서울특별시 강동구 상일로10길 36, 2층 202,203호 (상일동, 세종텔레콤지식산업센터)",02-441-2275,127.1741318,37.5508328,C,75591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5508328,127.1741318,csv
25497,13,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,31,의원,,송파성민의원,5759,http://,110000,서울,110018,송파구,"서울특별시 송파구 마천로 333, 2층 (마천동)",02-403-2338,127.1519878,37.4938996,C,75623,,,,,,4.0,,,,,,,,,4.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,3.0,"[{'grdNm': 'asthGrd', 'grdVal': '4'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '3'}, {'grdNm': 'anboPrscGrd', 'grdVal': '0'}, {'grdNm': 'mdsItmCntGrd', 'grdVal': '4'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '3'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '5'}]",송파구,37.4938996,127.1519878,csv
25497,14,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQxMyQzNjE0ODEjNDEjJDEjJDgjJDgz,81,약국,,신라온누리약국,5759,,110000,서울,110018,송파구,"서울특별시 송파구 마천로 333, 1층 1호 (마천동)",02-353-8845,127.1519878,37.4938996,C,75623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.4938996,127.1519878,csv
25497,15,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMTkxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,81,약국,,중앙프라자약국,5759,,110000,서울,110018,송파구,"서울특별시 송파구 마천로57길 4, 1층 (마천동)",02-3401-3818,127.1520885,37.4943506,C,75627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.4943506,127.1520885,csv
25497,16,JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNDgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjODEjJDEjJDYjJDgz,51,치과의원,,서울심치과의원,5758,,110000,서울,110018,송파구,"서울특별시 송파구 마천로57길 7, 201호 (마천동)",02-409-2835,127.1520019,37.4946412,C,75642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.4946412,127.1520019,csv
25497,17,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,31,의원,,중앙내과의원,5758,,110000,서울,110018,송파구,"서울특별시 송파구 마천로57길 5, 마천빌딩 4층 (마천동)",02-408-3914,127.1519379,37.4945429,C,75645,,,,,0.0,4.0,,,,,,,,,3.0,2.0,1.0,5.0,,,,,,,,,,,,,4.0,,,,1.0,"[{'grdNm': 'chronClsAttrLungDsGrd', 'grdVal': '0'}, {'grdNm': 'mdsItmCntGrd', 'grdVal': '3'}, {'grdNm': 'ijctmPrscGrd', 'grdVal': '2'}, {'grdNm': 'anboPrscGrd', 'grdVal': '1'}, {'grdNm': 'asthGrd', 'grdVal': '4'}, {'grdNm': 'glomSymtGrd', 'grdVal': '4'}, {'grdNm': 'hytenDbmlGrd', 'grdVal': '1'}, {'grdNm': 'alriAnboPrscGrd', 'grdVal': '5'}]",송파구,37.4945429,127.1519379,csv
25497,18,JDQ4MTg4MSM1MSMkMSMkMCMkMTMkNDgxNzAyIzQxIyQyIyQ3IyQwMCQzNjEyMjIjNDEjJDEjJDgjJDgz,93,한의원,,하나한의원,5758,http://www.hanahanbang.com/,110000,서울,110018,송파구,"서울특별시 송파구 마천로57길 5, 2,3층 (마천동)",02-430-1078,127.1519379,37.4945429,C,75645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],송파구,37.4945429,127.1519379,csv
25497,19,JDQ4MTg4MSM1MSMkMSMkMCMkNzIkMzgxNzAyIzMxIyQxIyQzIyQwMyQzNjEyMjIjNjEjJDEjJDQjJDgz,51,치과의원,,서울치과의원,5283,,110000,서울,110002,강동구,"서울특별시 강동구 천호대로 1471, (상일제1동)",02-428-6408,127.1714851,37.5465394,C,75655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],강동구,37.5465394,127.1714851,csv
