순번,자치구,구역명,위치,Unnamed: 4,사업방법,Unnamed: 6,Unnamed: 7,사업추진단계,기존 가구수(멸실량),추진단계,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,공급형태별 건립세대수 (공급량),Unnamed: 23,Unnamed: 24,gu_std
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대,
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,,
1.0,종로구,수송1-2,수송동 146-12,종로1길 36,민간,일반,도시정비형 재개발,구역지정,0.0,2010-12-30,2024-11-21,,,,,,,,,,,0,0,0,종로구
2.0,종로구,수송1-7,수송동 80,종로5길 68,민간,일반,도시정비형 재개발,건축심의,0.0,2010-12-30,2025-03-28,,,2025-07-17,,,,,,,,0,0,0,종로구
3.0,종로구,신문로2-12,신문로1가 158,세종대로21길 71,공공,일반,도시정비형 재개발,조합설립,0.0,1983-09-30,2025-12-04,,2021-08-27,,,,,,,,,128,64,64,종로구
4.0,종로구,신영1,신영동 158-2,세검정로6길 62-2,민간,일반,주택정비형 재개발,관리처분,66.0,2000-06-01,2024-08-16,,2003-07-07,,2018-10-19,2025-02-19,2022-02-26,2025-10-10,2022-11-19,2023-02-01,,199,199,0,종로구
5.0,종로구,종로6가,종로6가 117,종로 269-3,민간,일반,도시정비형 재개발,구역지정,165.0,2009-10-01,2012-05-24,,,,,,,,,,,199,0,199,종로구
6.0,종로구,사직2,사직동 311-10,사직로 62-2,민간,일반,도시정비형 재개발,사업시행,0.0,2009-11-19,2013-10-28,2003-11-21,2010-07-19,2011-11-10,2012-09-21,,,,,,,456,378,78,종로구
7.0,종로구,돈의문2,교남동 28,통일로 150-7,민간,재촉,도시정비형 재개발,관리처분,0.0,2003-11-18,2006-04-13,,2024-06-21,2023-11-13,2024-06-21,,2025-05-23,,,,,228,151,77,종로구
8.0,종로구,세운2,장사동 67,종로22길 13-2,민간,재촉,도시정비형 재개발,구역지정,48.0,2006-10-26,2024-06-27,,,,,,,,,,,0,0,0,종로구
9.0,종로구,세운4,예지동 85,종로30길 19-8,민간,재촉,도시정비형 재개발,관리처분,0.0,2004-02-05,2014-03-27,,,2018-11-27,2018-06-29,2021-12-17,2020-02-28,,2021-11-01,2021-12-31,,0,0,0,종로구
10.0,종로구,"공평15,16",인사동 87,-,민간,일반,도시정비형 재개발,착공,0.0,1978-09-26,2021-09-02,,,2019-12-10,2020-05-18,2022-05-04,2020-11-16,2023-02-17,,,2022-11-17,0,0,0,종로구
11.0,종로구,공평3,공평동 1,인사동5길 41,민간,일반,도시정비형 재개발,건축심의,0.0,1978-09-26,2024-11-14,,,2025-06-19,,,,,,,,0,0,0,종로구
12.0,종로구,관수동일반정비3,관수동 59 일대,돈화문로 15,민간,일반,도시정비형 재개발,사업시행,0.0,2024-04-11,2025-02-06,,,2025-05-15,2025-08-22,,,,,,,0,0,0,종로구
13.0,종로구,관수동일반정비8,관수동 129-1 일대,청계천로 113,민간,일반,도시정비형 재개발,사업시행,0.0,2024-04-11,2024-02-06,,,2025-04-24,2025-09-26,,,,,,,0,0,0,종로구
14.0,종로구,내자필운2-1,내자동 81,사직로12길 19-12,민간,일반,도시정비형 재개발,구역지정,0.0,2011-05-06,2025-09-11,,,,,,,,,,,376,55,321,종로구
15.0,종로구,서린345지구,"서린동 111-1번지 일대
",,민간,일반,도시정비형 재개발,사업시행,0.0,1983-09-06,2025-01-02,,,2024-11-29,2025-04-08,2025-04-08,,,,,,0,0,0,종로구
16.0,종로구,수송1-3,수송동 146-2,종로1길 36,공공,일반,도시정비형 재개발,사업시행,0.0,2010-12-30,2025-01-17,,,2024-01-09,2025-02-14,,,,,,,0,0,0,종로구
17.0,종로구,숭인동56일대,숭인동 56-4번지 일원,,민간,일반,주택정비형 재개발,구역지정,709.0,2024-12-19,,,,,,,,,,,,974,804,170,종로구
18.0,종로구,창신1-6,창신동 459-12번지 일원,종로48길 27,민간,일반,도시정비형 재개발,조합설립,0.0,2022-04-28,,,2022-10-07,,,,,,,,,0,0,0,종로구
19.0,종로구,창신3,"창신동 412-1번지 일원
","종로54길 39
",민간,일반,도시정비형 재개발,구역지정,0.0,2022-04-28,,,,,,,,,,,,0,0,0,종로구
20.0,종로구,창신4-1,창신동330-1번지 일원,종로 328,민간,일반,도시정비형 재개발,추진위,0.0,2007-04-30,2022-04-28,2017-07-04,,,,,,,,,,0,0,0,종로구
21.0,종로구,창신동23-606번지일원,"창신동 23-606번지 일원
",,민간,일반,주택정비형 재개발,구역지정,2172.0,2025-11-13,,,,,,,,,,,,2667,2342,325,종로구
22.0,종로구,창신동23일대,"창신동 23-2번지 일원
",,민간,일반,주택정비형 재개발,구역지정,426.0,2024-12-19,,,,,,,,,,,,1034,879,155,종로구
23.0,종로구,창신동629번지일원,"창신동 629번지 일원
",,민간,일반,주택정비형 재개발,구역지정,1780.0,2025-11-13,,,,,,,,,,,,1875,1646,229,종로구
24.0,중구,광희동1가일원,광희동1가 303-1,마른내로 137,민간,일반,도시정비형 재개발,구역지정,0.0,2024-04-18,2024-04-18,,,,,,,,,,,0,0,0,중구
25.0,중구,남대문-7-1,남창동 9-1,퇴계로 63,민간,일반,도시정비형 재개발,사업시행,0.0,1977-06-29,2025-02-27,,2022-06-22,2025-05-15,2022-06-22,2025-11-21,,,,,,299,0,299,중구
26.0,중구,남대문로5가구역84-1구역,남대문로5가 84-1,세종대로 10-2,민간,일반,도시정비형 재개발,구역지정,0.0,2025-05-29,2025-05-29,,,,,,,,,,,0,0,0,중구
27.0,중구,"마포로5-10,11",중림동 157-2,서소문로 26,민간,일반,도시정비형 재개발,관리처분,0.0,1979-09-21,2023-12-28,,2022-08-24,2024-04-18,2022-08-24,2024-11-15,2023-08-30,2025-12-10,,,,299,205,94,중구
28.0,중구,마포로5-9-1,순화동 6-10,,민간,일반,도시정비형 재개발,착공,15.0,1979-09-21,2025-12-11,,2022-07-22,2022-03-16,2022-07-22,2023-11-03,2023-06-20,2023-06-20,,,2024-01-12,102,63,39,중구
29.0,중구,명동-1,을지로2가 185,을지로 76,민간,일반,도시정비형 재개발,착공,0.0,1983-09-30,2025-04-02,,2024-06-03,2024-03-04,2024-06-03,2025-04-30,2025-02-12,2025-02-12,,,2025-07-30,0,0,0,중구
30.0,중구,명동-2,을지로2가 163-3,을지로 80-1,민간,일반,도시정비형 재개발,관리처분,1.0,1983-09-30,2020-11-26,,2023-09-20,2023-01-18,2023-09-20,2023-09-20,2025-07-23,,,,,0,0,0,중구
31.0,중구,무교다동-16,다동 130,다동길 30,민간,일반,도시정비형 재개발,건축심의,0.0,1973-09-06,2022-08-25,,,2023-03-07,,,,,,,,0,0,0,중구
32.0,중구,무교다동-29,을지로1가 16,무교로 6,민간,일반,도시정비형 재개발,관리처분,0.0,1973-09-06,2024-08-07,,2024-11-20,2024-03-26,2024-11-20,2024-11-20,2025-09-17,,,,,0,0,0,중구
