gu_std,사업추진단계,project_count
강남구,관리처분,3
강남구,구역지정,3
강남구,사업시행,4
강남구,조합설립,10
강남구,착공,2
강남구,추진위,2
강동구,건축심의,1
강동구,관리처분,1
강동구,구역지정,3
강동구,사업시행,1
강동구,조합설립,6
강동구,착공,1
강북구,건축심의,1
강북구,관리처분,2
강북구,구역지정,1
강북구,사업시행,2
강북구,조합설립,3
강서구,건축심의,1
강서구,관리처분,1
강서구,사업시행,1
강서구,조합설립,1
강서구,착공,2
관악구,관리처분,1
관악구,구역지정,1
관악구,사업시행,6
관악구,조합설립,2
광진구,구역지정,3
광진구,조합설립,2
광진구,추진위,1
구로구,관리처분,1
구로구,구역지정,5
구로구,사업시행,4
구로구,조합설립,1
구로구,착공,2
구로구,추진위,3
금천구,구역지정,1
금천구,사업시행,1
금천구,조합설립,1
금천구,착공,1
노원구,건축심의,1
노원구,관리처분,3
노원구,구역지정,1
노원구,사업시행,2
노원구,조합설립,1
노원구,착공,1
도봉구,구역지정,3
도봉구,조합설립,3
도봉구,착공,1
동대문구,건축심의,3
동대문구,관리처분,4
동대문구,구역지정,6
동대문구,사업시행,6
동대문구,조합설립,3
동대문구,착공,2
동대문구,추진위,2
동작구,관리처분,4
동작구,사업시행,3
동작구,조합설립,4
동작구,착공,4
마포구,건축심의,1
마포구,관리처분,7
마포구,구역지정,4
마포구,사업시행,2
마포구,조합설립,1
마포구,착공,4
서대문구,건축심의,2
서대문구,관리처분,1
서대문구,구역지정,4
서대문구,사업시행,2
서대문구,조합설립,8
서대문구,착공,3
서대문구,추진위,2
서초구,건축심의,2
서초구,관리처분,6
서초구,구역지정,1
서초구,사업시행,1
서초구,조합설립,9
서초구,착공,8
서초구,추진위,1
성동구,건축심의,2
성동구,관리처분,1
성동구,구역지정,1
성동구,사업시행,2
성동구,조합설립,6
성동구,착공,2
성동구,추진위,1
성북구,건축심의,3
성북구,관리처분,4
성북구,구역지정,1
성북구,사업시행,2
성북구,조합설립,7
성북구,착공,3
성북구,추진위,4
송파구,건축심의,2
송파구,관리처분,3
송파구,구역지정,2
송파구,사업시행,6
송파구,조합설립,8
송파구,착공,1
송파구,추진위,3
양천구,관리처분,2
양천구,구역지정,5
양천구,사업시행,1
양천구,조합설립,10
양천구,추진위,6
영등포구,건축심의,3
영등포구,관리처분,3
영등포구,구역지정,3
영등포구,사업시행,12
영등포구,조합설립,12
영등포구,착공,3
영등포구,추진위,6
용산구,건축심의,2
용산구,관리처분,4
용산구,구역지정,1
용산구,사업시행,5
용산구,조합설립,7
용산구,추진위,6
은평구,건축심의,1
은평구,관리처분,3
은평구,구역지정,6
은평구,사업시행,1
은평구,조합설립,3
은평구,착공,3
은평구,추진위,1
종로구,건축심의,2
종로구,관리처분,3
종로구,구역지정,9
종로구,사업시행,5
종로구,조합설립,2
종로구,착공,1
종로구,추진위,1
중구,건축심의,2
중구,관리처분,9
중구,구역지정,4
중구,사업시행,4
중구,조합설립,2
중구,착공,13
중구,추진위,1
중랑구,건축심의,1
중랑구,구역지정,1
중랑구,사업시행,1
중랑구,조합설립,3
중랑구,착공,2
중랑구,추진위,3
