범죄대분류,범죄중분류,gu_raw,crime_count,gu_std
강력범죄,살인기수,서울 종로구,0,종로구
강력범죄,살인미수등,서울 종로구,1,종로구
강력범죄,강도,서울 종로구,5,종로구
강력범죄,강간,서울 종로구,31,종로구
강력범죄,유사강간,서울 종로구,6,종로구
강력범죄,강제추행,서울 종로구,171,종로구
강력범죄,기타 강간/강제추행등,서울 종로구,0,종로구
강력범죄,방화,서울 종로구,9,종로구
절도범죄,절도범죄,서울 종로구,1180,종로구
폭력범죄,상해,서울 종로구,110,종로구
폭력범죄,폭행,서울 종로구,785,종로구
폭력범죄,체포/감금,서울 종로구,2,종로구
폭력범죄,협박,서울 종로구,143,종로구
폭력범죄,약취/유인,서울 종로구,1,종로구
폭력범죄,폭력행위등,서울 종로구,23,종로구
폭력범죄,공갈,서울 종로구,27,종로구
폭력범죄,손괴,서울 종로구,269,종로구
지능범죄,직무유기,서울 종로구,15,종로구
지능범죄,직권남용,서울 종로구,24,종로구
지능범죄,증수뢰,서울 종로구,3,종로구
지능범죄,통화,서울 종로구,11,종로구
지능범죄,문서/인장,서울 종로구,73,종로구
지능범죄,유가증권인지,서울 종로구,2,종로구
지능범죄,사기,서울 종로구,2440,종로구
지능범죄,횡령,서울 종로구,766,종로구
지능범죄,배임,서울 종로구,36,종로구
풍속범죄,성풍속범죄,서울 종로구,129,종로구
풍속범죄,도박범죄,서울 종로구,19,종로구
특별경제범죄,특별경제범죄,서울 종로구,845,종로구
마약범죄,마약범죄,서울 종로구,59,종로구
보건범죄,보건범죄,서울 종로구,81,종로구
환경범죄,환경범죄,서울 종로구,0,종로구
교통범죄,교통범죄,서울 종로구,715,종로구
노동범죄,노동범죄,서울 종로구,5,종로구
안보범죄,안보범죄,서울 종로구,5,종로구
선거범죄,선거범죄,서울 종로구,18,종로구
병역범죄,병역범죄,서울 종로구,35,종로구
기타범죄,기타범죄,서울 종로구,1971,종로구
강력범죄,살인기수,서울 중구,3,중구
강력범죄,살인미수등,서울 중구,2,중구
강력범죄,강도,서울 중구,5,중구
강력범죄,강간,서울 중구,21,중구
강력범죄,유사강간,서울 중구,7,중구
강력범죄,강제추행,서울 중구,150,중구
강력범죄,기타 강간/강제추행등,서울 중구,2,중구
강력범죄,방화,서울 중구,8,중구
절도범죄,절도범죄,서울 중구,1410,중구
폭력범죄,상해,서울 중구,96,중구
폭력범죄,폭행,서울 중구,866,중구
폭력범죄,체포/감금,서울 중구,5,중구
폭력범죄,협박,서울 중구,125,중구
폭력범죄,약취/유인,서울 중구,0,중구
폭력범죄,폭력행위등,서울 중구,37,중구
폭력범죄,공갈,서울 중구,21,중구
폭력범죄,손괴,서울 중구,228,중구
지능범죄,직무유기,서울 중구,9,중구
지능범죄,직권남용,서울 중구,15,중구
지능범죄,증수뢰,서울 중구,3,중구
지능범죄,통화,서울 중구,49,중구
지능범죄,문서/인장,서울 중구,76,중구
지능범죄,유가증권인지,서울 중구,4,중구
지능범죄,사기,서울 중구,1770,중구
지능범죄,횡령,서울 중구,823,중구
지능범죄,배임,서울 중구,35,중구
풍속범죄,성풍속범죄,서울 중구,99,중구
풍속범죄,도박범죄,서울 중구,16,중구
특별경제범죄,특별경제범죄,서울 중구,995,중구
마약범죄,마약범죄,서울 중구,56,중구
보건범죄,보건범죄,서울 중구,95,중구
환경범죄,환경범죄,서울 중구,0,중구
교통범죄,교통범죄,서울 중구,717,중구
노동범죄,노동범죄,서울 중구,1,중구
안보범죄,안보범죄,서울 중구,3,중구
선거범죄,선거범죄,서울 중구,18,중구
병역범죄,병역범죄,서울 중구,15,중구
기타범죄,기타범죄,서울 중구,2134,중구
강력범죄,살인기수,서울 용산구,5,용산구
강력범죄,살인미수등,서울 용산구,5,용산구
강력범죄,강도,서울 용산구,4,용산구
강력범죄,강간,서울 용산구,52,용산구
강력범죄,유사강간,서울 용산구,9,용산구
강력범죄,강제추행,서울 용산구,201,용산구
강력범죄,기타 강간/강제추행등,서울 용산구,0,용산구
강력범죄,방화,서울 용산구,6,용산구
절도범죄,절도범죄,서울 용산구,1072,용산구
폭력범죄,상해,서울 용산구,103,용산구
폭력범죄,폭행,서울 용산구,1187,용산구
폭력범죄,체포/감금,서울 용산구,9,용산구
폭력범죄,협박,서울 용산구,146,용산구
폭력범죄,약취/유인,서울 용산구,5,용산구
폭력범죄,폭력행위등,서울 용산구,47,용산구
폭력범죄,공갈,서울 용산구,43,용산구
폭력범죄,손괴,서울 용산구,401,용산구
지능범죄,직무유기,서울 용산구,12,용산구
지능범죄,직권남용,서울 용산구,13,용산구
지능범죄,증수뢰,서울 용산구,2,용산구
지능범죄,통화,서울 용산구,3,용산구
지능범죄,문서/인장,서울 용산구,43,용산구
지능범죄,유가증권인지,서울 용산구,0,용산구
지능범죄,사기,서울 용산구,2170,용산구
지능범죄,횡령,서울 용산구,594,용산구
지능범죄,배임,서울 용산구,38,용산구
풍속범죄,성풍속범죄,서울 용산구,128,용산구
풍속범죄,도박범죄,서울 용산구,23,용산구
특별경제범죄,특별경제범죄,서울 용산구,848,용산구
마약범죄,마약범죄,서울 용산구,178,용산구
보건범죄,보건범죄,서울 용산구,102,용산구
환경범죄,환경범죄,서울 용산구,1,용산구
교통범죄,교통범죄,서울 용산구,978,용산구
노동범죄,노동범죄,서울 용산구,0,용산구
안보범죄,안보범죄,서울 용산구,6,용산구
선거범죄,선거범죄,서울 용산구,7,용산구
병역범죄,병역범죄,서울 용산구,37,용산구
기타범죄,기타범죄,서울 용산구,2258,용산구
강력범죄,살인기수,서울 성동구,2,성동구
강력범죄,살인미수등,서울 성동구,3,성동구
강력범죄,강도,서울 성동구,2,성동구
강력범죄,강간,서울 성동구,22,성동구
강력범죄,유사강간,서울 성동구,3,성동구
강력범죄,강제추행,서울 성동구,88,성동구
강력범죄,기타 강간/강제추행등,서울 성동구,1,성동구
강력범죄,방화,서울 성동구,7,성동구
절도범죄,절도범죄,서울 성동구,968,성동구
폭력범죄,상해,서울 성동구,74,성동구
폭력범죄,폭행,서울 성동구,504,성동구
폭력범죄,체포/감금,서울 성동구,1,성동구
폭력범죄,협박,서울 성동구,148,성동구
폭력범죄,약취/유인,서울 성동구,1,성동구
폭력범죄,폭력행위등,서울 성동구,17,성동구
폭력범죄,공갈,서울 성동구,35,성동구
폭력범죄,손괴,서울 성동구,253,성동구
지능범죄,직무유기,서울 성동구,9,성동구
지능범죄,직권남용,서울 성동구,3,성동구
지능범죄,증수뢰,서울 성동구,1,성동구
지능범죄,통화,서울 성동구,3,성동구
지능범죄,문서/인장,서울 성동구,73,성동구
지능범죄,유가증권인지,서울 성동구,0,성동구
지능범죄,사기,서울 성동구,2738,성동구
지능범죄,횡령,서울 성동구,555,성동구
지능범죄,배임,서울 성동구,27,성동구
풍속범죄,성풍속범죄,서울 성동구,123,성동구
풍속범죄,도박범죄,서울 성동구,21,성동구
특별경제범죄,특별경제범죄,서울 성동구,669,성동구
마약범죄,마약범죄,서울 성동구,86,성동구
보건범죄,보건범죄,서울 성동구,21,성동구
환경범죄,환경범죄,서울 성동구,0,성동구
교통범죄,교통범죄,서울 성동구,768,성동구
노동범죄,노동범죄,서울 성동구,3,성동구
안보범죄,안보범죄,서울 성동구,1,성동구
선거범죄,선거범죄,서울 성동구,11,성동구
병역범죄,병역범죄,서울 성동구,55,성동구
기타범죄,기타범죄,서울 성동구,1502,성동구
강력범죄,살인기수,서울 광진구,1,광진구
강력범죄,살인미수등,서울 광진구,1,광진구
강력범죄,강도,서울 광진구,6,광진구
강력범죄,강간,서울 광진구,49,광진구
강력범죄,유사강간,서울 광진구,9,광진구
강력범죄,강제추행,서울 광진구,178,광진구
강력범죄,기타 강간/강제추행등,서울 광진구,1,광진구
강력범죄,방화,서울 광진구,7,광진구
절도범죄,절도범죄,서울 광진구,1321,광진구
폭력범죄,상해,서울 광진구,89,광진구
폭력범죄,폭행,서울 광진구,705,광진구
폭력범죄,체포/감금,서울 광진구,7,광진구
폭력범죄,협박,서울 광진구,120,광진구
폭력범죄,약취/유인,서울 광진구,2,광진구
폭력범죄,폭력행위등,서울 광진구,22,광진구
폭력범죄,공갈,서울 광진구,44,광진구
폭력범죄,손괴,서울 광진구,314,광진구
지능범죄,직무유기,서울 광진구,6,광진구
지능범죄,직권남용,서울 광진구,10,광진구
지능범죄,증수뢰,서울 광진구,5,광진구
지능범죄,통화,서울 광진구,8,광진구
지능범죄,문서/인장,서울 광진구,80,광진구
지능범죄,유가증권인지,서울 광진구,1,광진구
지능범죄,사기,서울 광진구,2150,광진구
지능범죄,횡령,서울 광진구,694,광진구
지능범죄,배임,서울 광진구,22,광진구
풍속범죄,성풍속범죄,서울 광진구,169,광진구
풍속범죄,도박범죄,서울 광진구,44,광진구
특별경제범죄,특별경제범죄,서울 광진구,799,광진구
마약범죄,마약범죄,서울 광진구,80,광진구
보건범죄,보건범죄,서울 광진구,34,광진구
환경범죄,환경범죄,서울 광진구,1,광진구
교통범죄,교통범죄,서울 광진구,899,광진구
노동범죄,노동범죄,서울 광진구,0,광진구
안보범죄,안보범죄,서울 광진구,0,광진구
선거범죄,선거범죄,서울 광진구,9,광진구
병역범죄,병역범죄,서울 광진구,81,광진구
기타범죄,기타범죄,서울 광진구,1835,광진구
강력범죄,살인기수,서울 동대문구,2,동대문구
강력범죄,살인미수등,서울 동대문구,5,동대문구
강력범죄,강도,서울 동대문구,4,동대문구
강력범죄,강간,서울 동대문구,25,동대문구
강력범죄,유사강간,서울 동대문구,9,동대문구
강력범죄,강제추행,서울 동대문구,90,동대문구
강력범죄,기타 강간/강제추행등,서울 동대문구,1,동대문구
강력범죄,방화,서울 동대문구,8,동대문구
절도범죄,절도범죄,서울 동대문구,1618,동대문구
폭력범죄,상해,서울 동대문구,88,동대문구
폭력범죄,폭행,서울 동대문구,869,동대문구
폭력범죄,체포/감금,서울 동대문구,2,동대문구
폭력범죄,협박,서울 동대문구,168,동대문구
폭력범죄,약취/유인,서울 동대문구,2,동대문구
폭력범죄,폭력행위등,서울 동대문구,27,동대문구
폭력범죄,공갈,서울 동대문구,39,동대문구
폭력범죄,손괴,서울 동대문구,267,동대문구
지능범죄,직무유기,서울 동대문구,8,동대문구
지능범죄,직권남용,서울 동대문구,13,동대문구
지능범죄,증수뢰,서울 동대문구,2,동대문구
지능범죄,통화,서울 동대문구,7,동대문구
지능범죄,문서/인장,서울 동대문구,66,동대문구
지능범죄,유가증권인지,서울 동대문구,1,동대문구
지능범죄,사기,서울 동대문구,2685,동대문구
지능범죄,횡령,서울 동대문구,617,동대문구
지능범죄,배임,서울 동대문구,25,동대문구
풍속범죄,성풍속범죄,서울 동대문구,125,동대문구
풍속범죄,도박범죄,서울 동대문구,36,동대문구
특별경제범죄,특별경제범죄,서울 동대문구,807,동대문구
마약범죄,마약범죄,서울 동대문구,91,동대문구
보건범죄,보건범죄,서울 동대문구,81,동대문구
환경범죄,환경범죄,서울 동대문구,2,동대문구
교통범죄,교통범죄,서울 동대문구,1265,동대문구
노동범죄,노동범죄,서울 동대문구,1,동대문구
안보범죄,안보범죄,서울 동대문구,2,동대문구
선거범죄,선거범죄,서울 동대문구,5,동대문구
병역범죄,병역범죄,서울 동대문구,85,동대문구
기타범죄,기타범죄,서울 동대문구,1669,동대문구
강력범죄,살인기수,서울 중랑구,3,중랑구
강력범죄,살인미수등,서울 중랑구,2,중랑구
강력범죄,강도,서울 중랑구,2,중랑구
강력범죄,강간,서울 중랑구,35,중랑구
강력범죄,유사강간,서울 중랑구,5,중랑구
강력범죄,강제추행,서울 중랑구,102,중랑구
강력범죄,기타 강간/강제추행등,서울 중랑구,0,중랑구
강력범죄,방화,서울 중랑구,10,중랑구
절도범죄,절도범죄,서울 중랑구,1439,중랑구
폭력범죄,상해,서울 중랑구,117,중랑구
폭력범죄,폭행,서울 중랑구,840,중랑구
폭력범죄,체포/감금,서울 중랑구,3,중랑구
폭력범죄,협박,서울 중랑구,186,중랑구
폭력범죄,약취/유인,서울 중랑구,5,중랑구
폭력범죄,폭력행위등,서울 중랑구,41,중랑구
폭력범죄,공갈,서울 중랑구,52,중랑구
폭력범죄,손괴,서울 중랑구,335,중랑구
지능범죄,직무유기,서울 중랑구,2,중랑구
지능범죄,직권남용,서울 중랑구,8,중랑구
지능범죄,증수뢰,서울 중랑구,0,중랑구
지능범죄,통화,서울 중랑구,3,중랑구
지능범죄,문서/인장,서울 중랑구,77,중랑구
지능범죄,유가증권인지,서울 중랑구,0,중랑구
지능범죄,사기,서울 중랑구,2809,중랑구
지능범죄,횡령,서울 중랑구,468,중랑구
지능범죄,배임,서울 중랑구,19,중랑구
풍속범죄,성풍속범죄,서울 중랑구,126,중랑구
풍속범죄,도박범죄,서울 중랑구,37,중랑구
특별경제범죄,특별경제범죄,서울 중랑구,843,중랑구
마약범죄,마약범죄,서울 중랑구,58,중랑구
보건범죄,보건범죄,서울 중랑구,42,중랑구
환경범죄,환경범죄,서울 중랑구,1,중랑구
교통범죄,교통범죄,서울 중랑구,1051,중랑구
노동범죄,노동범죄,서울 중랑구,1,중랑구
안보범죄,안보범죄,서울 중랑구,1,중랑구
선거범죄,선거범죄,서울 중랑구,8,중랑구
병역범죄,병역범죄,서울 중랑구,77,중랑구
기타범죄,기타범죄,서울 중랑구,1936,중랑구
강력범죄,살인기수,서울 성북구,1,성북구
강력범죄,살인미수등,서울 성북구,1,성북구
강력범죄,강도,서울 성북구,1,성북구
강력범죄,강간,서울 성북구,32,성북구
강력범죄,유사강간,서울 성북구,8,성북구
강력범죄,강제추행,서울 성북구,105,성북구
강력범죄,기타 강간/강제추행등,서울 성북구,1,성북구
강력범죄,방화,서울 성북구,5,성북구
절도범죄,절도범죄,서울 성북구,884,성북구
폭력범죄,상해,서울 성북구,67,성북구
폭력범죄,폭행,서울 성북구,648,성북구
폭력범죄,체포/감금,서울 성북구,8,성북구
폭력범죄,협박,서울 성북구,127,성북구
폭력범죄,약취/유인,서울 성북구,1,성북구
폭력범죄,폭력행위등,서울 성북구,17,성북구
폭력범죄,공갈,서울 성북구,34,성북구
폭력범죄,손괴,서울 성북구,247,성북구
지능범죄,직무유기,서울 성북구,10,성북구
지능범죄,직권남용,서울 성북구,6,성북구
지능범죄,증수뢰,서울 성북구,4,성북구
지능범죄,통화,서울 성북구,4,성북구
지능범죄,문서/인장,서울 성북구,57,성북구
지능범죄,유가증권인지,서울 성북구,0,성북구
지능범죄,사기,서울 성북구,2860,성북구
지능범죄,횡령,서울 성북구,412,성북구
지능범죄,배임,서울 성북구,27,성북구
풍속범죄,성풍속범죄,서울 성북구,125,성북구
풍속범죄,도박범죄,서울 성북구,16,성북구
특별경제범죄,특별경제범죄,서울 성북구,736,성북구
마약범죄,마약범죄,서울 성북구,43,성북구
보건범죄,보건범죄,서울 성북구,44,성북구
