gu_std,crime_total,crime_score
강남구,31705,0.0
송파구,18321,52.79892697936802
서초구,17238,57.07128486330822
관악구,16539,59.82879009033887
영등포구,15467,64.05775375754467
강서구,15073,65.61205570239457
마포구,13488,71.86476784094047
구로구,11726,78.81573237603061
강동구,11267,80.6264546924928
동대문구,10817,82.40167264980867
중랑구,10744,82.68965245177324
용산구,10736,82.72121188212553
은평구,10708,82.83166988835852
종로구,10015,85.56550554262496
노원구,10005,85.6049548305653
중구,9919,85.94421870685234
양천구,9869,86.14146514655411
광진구,9803,86.40183044696043
성북구,9158,88.94630951911319
동작구,9014,89.51437926545425
금천구,8965,89.70768077636198
성동구,8798,90.36648388496587
강북구,8620,91.06868121030415
서대문구,7453,95.67241311294332
도봉구,6356,100.0
