gu_std,police_satisfaction,police_score
혜화,94.89999999999999,100.0
동대문,94.63333333333333,90.47619047619054
강동,94.36666666666667,80.9523809523816
양천,94.26666666666667,77.38095238095273
노원,94.23333333333333,76.19047619047663
서대문,94.2,75.00000000000051
은평,94.2,75.00000000000051
강북,94.16666666666667,73.80952380952439
서부,94.16666666666667,73.80952380952439
광진,94.10000000000001,71.42857142857216
방배,94.06666666666666,70.23809523809554
금천,93.96666666666665,66.66666666666666
중구,93.90000000000002,64.28571428571544
성북,93.89999999999999,64.28571428571443
중랑,93.89999999999999,64.28571428571443
성동,93.76666666666667,59.52380952380996
영등포,93.66666666666667,55.95238095238161
송파,93.59999999999998,53.571428571428356
동작,93.59999999999998,53.571428571428356
종암,93.56666666666666,52.38095238095274
관악,93.46666666666665,48.80952380952388
도봉,93.39999999999999,46.428571428571644
구로,93.36666666666667,45.23809523809604
남대문,93.3,42.857142857143295
수서,93.26666666666665,41.66666666666667
서초,93.09999999999998,35.71428571428557
종로,92.90000000000002,28.571428571429873
강남,92.86666666666667,27.38095238095325
강서,92.59999999999998,17.857142857142787
용산,92.10000000000001,1.0150610510858534e-12
마포,92.09999999999998,0.0
