gu_std,crime_total,crime_score,police_satisfaction,police_score,crime_police_corr
강남,,,92.86666666666667,27.38095238095325,
강남구,31705.0,0.0,,,
강동,,,94.36666666666667,80.9523809523816,
강동구,11267.0,80.6264546924928,,,
강북,,,94.16666666666667,73.80952380952439,
강북구,8620.0,91.06868121030415,,,
강서,,,92.59999999999998,17.857142857142787,
강서구,15073.0,65.61205570239457,,,
관악,,,93.46666666666665,48.80952380952388,
관악구,16539.0,59.82879009033887,,,
광진,,,94.10000000000001,71.42857142857216,
광진구,9803.0,86.40183044696043,,,
구로,,,93.36666666666667,45.23809523809604,
구로구,11726.0,78.81573237603061,,,
금천,,,93.96666666666665,66.66666666666666,
금천구,8965.0,89.70768077636198,,,
남대문,,,93.3,42.857142857143295,
노원,,,94.23333333333333,76.19047619047663,
노원구,10005.0,85.6049548305653,,,
도봉,,,93.39999999999999,46.428571428571644,
도봉구,6356.0,100.0,,,
동대문,,,94.63333333333333,90.47619047619054,
동대문구,10817.0,82.40167264980867,,,
동작,,,93.59999999999998,53.571428571428356,
동작구,9014.0,89.51437926545425,,,
마포,,,92.09999999999998,0.0,
마포구,13488.0,71.86476784094047,,,
방배,,,94.06666666666666,70.23809523809554,
서대문,,,94.2,75.00000000000051,
서대문구,7453.0,95.67241311294332,,,
서부,,,94.16666666666667,73.80952380952439,
서초,,,93.09999999999998,35.71428571428557,
서초구,17238.0,57.07128486330822,,,
성동,,,93.76666666666667,59.52380952380996,
성동구,8798.0,90.36648388496587,,,
성북,,,93.89999999999999,64.28571428571443,
성북구,9158.0,88.94630951911319,,,
송파,,,93.59999999999998,53.571428571428356,
송파구,18321.0,52.79892697936802,,,
수서,,,93.26666666666665,41.66666666666667,
양천,,,94.26666666666667,77.38095238095273,
양천구,9869.0,86.14146514655411,,,
영등포,,,93.66666666666667,55.95238095238161,
영등포구,15467.0,64.05775375754467,,,
용산,,,92.10000000000001,1.0150610510858534e-12,
용산구,10736.0,82.72121188212553,,,
은평,,,94.2,75.00000000000051,
은평구,10708.0,82.83166988835852,,,
종로,,,92.90000000000002,28.571428571429873,
종로구,10015.0,85.56550554262496,,,
종암,,,93.56666666666666,52.38095238095274,
중구,9919.0,85.94421870685234,93.90000000000002,64.28571428571544,
중랑,,,93.89999999999999,64.28571428571443,
중랑구,10744.0,82.68965245177324,,,
혜화,,,94.89999999999999,100.0,
