gu,hospital_count,park_count,mart_count,hospital_points,park_count_detail,crime_total_count,police_satisfaction_score,redevelopment_count,active_stage_count
강남구,3659.0,7.0,45.0,3659.0,7.0,834.3421052631579,93.06666666666666,24,24
강동구,1266.0,7.0,27.0,1266.0,7.0,296.5,94.36666666666667,13,13
강북구,645.0,4.0,23.0,645.0,4.0,226.8421052631579,94.16666666666667,9,9
강서구,1273.0,10.0,28.0,1273.0,10.0,396.6578947368421,92.59999999999998,6,6
관악구,964.0,2.0,26.0,964.0,2.0,435.2368421052632,93.46666666666665,10,10
광진구,798.0,2.0,31.0,798.0,2.0,257.9736842105263,94.10000000000001,6,6
구로구,820.0,4.0,35.0,820.0,4.0,308.57894736842104,93.36666666666667,16,16
금천구,519.0,4.0,20.0,519.0,4.0,235.92105263157896,93.96666666666665,4,4
노원구,1003.0,2.0,23.0,1003.0,2.0,263.2894736842105,94.23333333333333,9,9
도봉구,510.0,6.0,17.0,510.0,6.0,167.26315789473685,93.39999999999999,7,7
동대문구,894.0,4.0,32.0,894.0,4.0,284.6578947368421,94.63333333333333,26,26
동작구,820.0,7.0,15.0,820.0,7.0,237.21052631578948,93.59999999999998,15,15
마포구,1024.0,5.0,26.0,1024.0,5.0,354.94736842105266,92.09999999999998,19,19
서대문구,610.0,4.0,23.0,610.0,4.0,196.1315789473684,94.2,22,22
서초구,1893.0,6.0,29.0,1893.0,6.0,453.63157894736844,93.58333333333333,28,28
성동구,649.0,5.0,16.0,649.0,5.0,231.52631578947367,93.76666666666667,15,15
성북구,766.0,3.0,33.0,766.0,3.0,241.0,93.73333333333333,24,24
송파구,1711.0,7.0,47.0,1711.0,7.0,482.13157894736844,93.59999999999998,25,25
양천구,896.0,5.0,21.0,896.0,5.0,259.7105263157895,94.26666666666667,24,24
영등포구,1141.0,5.0,46.0,1141.0,5.0,407.0263157894737,93.66666666666667,42,42
용산구,447.0,2.0,23.0,447.0,2.0,282.5263157894737,92.10000000000001,25,25
은평구,951.0,7.0,23.0,951.0,7.0,281.7894736842105,94.18333333333332,18,18
종로구,669.0,12.0,20.0,669.0,12.0,263.55263157894734,93.90000000000002,23,23
중구,805.0,4.0,57.0,805.0,4.0,261.0263157894737,93.60000000000001,35,35
중랑구,765.0,5.0,17.0,765.0,5.0,282.7368421052632,93.89999999999999,11,11
