gu,year,area_pyeong_bucket,deposit_price_krw,monthly_rent_krw,rent_area_m2,rent_build_year,rent_txn_count,monthly_rent_active_krw,monthly_rent_positive_ratio,sale_price_krw,sale_area_m2,sale_build_year,sale_txn_count
강남구,2021,10.0,195000000.0,0.0,31.402,2003.0,1089.0,800000.0,1.0,380000000.0,31.402,2003.0,243.0
강남구,2021,11.0,193840000.0,110000.0,35.96,2004.0,289.0,1000000.0,1.0,390000000.0,36.29,2004.0,99.0
강남구,2021,12.0,290000000.0,0.0,39.53,1992.0,725.0,825000.0,1.0,1090000000.0,39.53,1993.0,107.0
강남구,2021,13.0,176800000.0,560000.0,41.91,2021.0,459.0,590000.0,1.0,435000000.0,43.58,2004.0,25.0
강남구,2021,14.0,188800000.0,270000.0,46.01,2013.0,79.0,380000.0,1.0,815000000.0,47.02,2005.0,5.0
강남구,2021,15.0,250000000.0,125000.0,49.79,2004.0,936.0,380000.0,1.0,1490000000.0,49.86,1992.0,71.0
강남구,2021,16.0,367500000.0,0.0,53.06,1985.0,270.0,725000.0,1.0,1800000000.0,52.73,1985.0,21.0
강남구,2021,17.0,430500000.0,0.0,54.81,1994.0,67.0,1485000.0,1.0,850000000.0,55.12,2003.0,7.0
강남구,2021,18.0,500000000.0,0.0,59.91,2006.0,2650.0,1200000.0,1.0,1650000000.0,59.8732,2005.0,252.0
강남구,2021,19.0,493500000.0,0.0,63.76,1983.0,195.0,1500000.0,1.0,1950000000.0,63.87,1985.5,8.0
강남구,2021,20.0,300000000.0,890000.0,67.28,2004.0,89.0,2100000.0,1.0,899000000.0,67.57,2005.0,11.0
강남구,2021,21.0,600000000.0,0.0,70.57,2009.0,125.0,1700000.0,1.0,1495000000.0,70.54,2001.0,15.0
강남구,2021,22.0,520000000.0,0.0,73.02,1994.0,299.0,1650000.0,1.0,2350000000.0,72.285,2008.0,24.0
강남구,2021,23.0,550000000.0,0.0,76.79,1979.0,941.0,1200000.0,1.0,2150000000.0,74.97,1993.0,93.0
강남구,2021,24.0,600000000.0,0.0,79.61,1987.0,230.0,1290000.0,1.0,1950000000.0,79.227,1987.0,33.0
