자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수
강남구,2021,33,31264,6148,79,2437
강남구,2021,59,62179,25499,113,5444
강남구,2021,84,92054,51603,182,7590
강남구,2021,기타,137919,77724,266,4533
강동구,2021,33,20004,4986,23,3533
강동구,2021,59,39859,14456,49,6218
강동구,2021,84,57689,31108,105,4989
강동구,2021,기타,63664,42705,116,1069
강북구,2021,33,12440,3539,22,432
강북구,2021,59,31760,9554,54,1129
강북구,2021,84,43717,15702,97,1023
강북구,2021,기타,51114,19239,108,187
강서구,2021,33,19666,5173,36,3743
강서구,2021,59,36197,9307,43,5864
강서구,2021,84,50909,25267,92,4031
강서구,2021,기타,67124,37103,110,900
관악구,2021,33,16418,3173,39,1326
관악구,2021,59,39555,14735,69,2129
관악구,2021,84,50384,21714,88,1771
관악구,2021,기타,60321,29491,92,545
광진구,2021,33,16803,2671,56,301
광진구,2021,59,50210,21744,90,1295
광진구,2021,84,65530,33290,107,1877
광진구,2021,기타,101039,42702,220,462
구로구,2021,33,15554,4438,24,2031
구로구,2021,59,29436,11515,42,4718
구로구,2021,84,44079,20190,73,2801
구로구,2021,기타,50590,30659,105,561
금천구,2021,33,15765,2492,39,555
금천구,2021,59,30215,16880,54,2227
금천구,2021,84,44441,21510,69,1341
금천구,2021,기타,49662,19079,105,167
노원구,2021,33,15942,3124,39,2494
노원구,2021,59,24808,6650,54,10650
노원구,2021,84,46031,20339,80,3427
노원구,2021,기타,62620,33262,109,755
도봉구,2021,33,14436,2365,43,848
도봉구,2021,59,24328,6219,56,2630
도봉구,2021,84,37415,13619,71,1968
도봉구,2021,기타,54332,25324,98,270
동대문구,2021,33,19353,3735,40,1881
동대문구,2021,59,43813,14430,78,2377
동대문구,2021,84,51892,22922,101,2222
동대문구,2021,기타,58384,27333,102,688
동작구,2021,33,13763,3004,41,669
동작구,2021,59,49622,22294,77,2755
동작구,2021,84,67602,34439,110,3511
동작구,2021,기타,76588,39163,129,1038
마포구,2021,33,23918,5817,42,1325
마포구,2021,59,47774,15912,70,4636
마포구,2021,84,68225,29312,141,3494
마포구,2021,기타,90367,39509,202,1054
서대문구,2021,33,20955,5319,35,863
서대문구,2021,59,42980,15860,74,2267
서대문구,2021,84,57022,26316,106,2519
서대문구,2021,기타,68095,37402,116,519
서초구,2021,33,29179,4787,63,1158
서초구,2021,59,55089,24919,92,4190
서초구,2021,84,90766,49538,191,5594
서초구,2021,기타,131605,69841,265,3439
성동구,2021,33,17984,5863,58,603
성동구,2021,59,54107,21609,123,3425
성동구,2021,84,69273,30362,155,3651
성동구,2021,기타,91398,44658,266,1114
성북구,2021,33,10699,4758,28,1005
성북구,2021,59,41386,13339,72,3988
성북구,2021,84,50692,23000,98,3119
성북구,2021,기타,61898,26944,117,784
송파구,2021,33,35057,8869,47,2306
송파구,2021,59,50478,17664,69,5515
송파구,2021,84,72878,39472,139,9117
송파구,2021,기타,96319,57267,167,2965
양천구,2021,33,9236,4643,21,980
양천구,2021,59,36557,14477,56,4826
양천구,2021,84,57994,34580,96,4052
양천구,2021,기타,86711,60784,126,1388
영등포구,2021,33,21593,3509,44,1326
영등포구,2021,59,41795,14426,71,3175
영등포구,2021,84,56455,24725,99,3361
영등포구,2021,기타,84887,39000,151,1163
용산구,2021,33,24741,4856,24,586
용산구,2021,59,49673,18232,117,1529
용산구,2021,84,64294,25321,163,1505
용산구,2021,기타,115560,41794,327,1611
은평구,2021,33,16215,5009,28,1807
은평구,2021,59,38704,11496,55,2881
은평구,2021,84,46562,24262,95,2612
은평구,2021,기타,60953,31043,113,601
종로구,2021,33,24568,5686,50,435
종로구,2021,59,43316,16299,101,558
종로구,2021,84,73200,29770,143,720
종로구,2021,기타,91256,38969,206,246
중구,2021,33,23048,3047,54,911
중구,2021,59,49804,15417,108,903
중구,2021,84,65606,23978,134,937
중구,2021,기타,91668,29168,231,409
중랑구,2021,33,18345,4109,34,1497
중랑구,2021,59,32648,9449,47,1916
중랑구,2021,84,44617,20519,78,1513
중랑구,2021,기타,56471,25551,121,392
강남구,2022,33,32106,7586,71,3491
강남구,2022,59,58098,25088,127,6118
강남구,2022,84,89407,50556,191,8069
강남구,2022,기타,140252,80500,277,4927
강동구,2022,33,19983,4191,31,2510
강동구,2022,59,43697,15977,63,5640
강동구,2022,84,57784,29551,113,4910
강동구,2022,기타,67617,38717,127,907
강북구,2022,33,13686,2709,34,946
강북구,2022,59,31431,11005,63,1144
강북구,2022,84,42841,17262,90,1067
강북구,2022,기타,51195,21507,105,249
강서구,2022,33,20348,4996,41,3660
강서구,2022,59,31382,11534,53,7105
강서구,2022,84,48396,26378,96,4726
강서구,2022,기타,66582,38221,116,953
관악구,2022,33,16804,3640,36,1878
관악구,2022,59,39977,16754,72,2964
관악구,2022,84,50200,22329,97,1834
관악구,2022,기타,57948,29149,105,585
광진구,2022,33,18211,4775,57,526
광진구,2022,59,49360,22466,96,1331
광진구,2022,84,67594,35285,115,2245
광진구,2022,기타,104525,54775,211,559
구로구,2022,33,16351,4820,22,2120
구로구,2022,59,29957,12078,51,4579
구로구,2022,84,44136,22687,61,4414
구로구,2022,기타,54718,32326,111,592
금천구,2022,33,15816,1921,46,701
금천구,2022,59,31938,12346,63,1332
금천구,2022,84,43743,18843,84,895
금천구,2022,기타,46998,23980,77,183
노원구,2022,33,15493,2581,38,3051
노원구,2022,59,24593,6789,58,12293
노원구,2022,84,45569,20050,88,3869
노원구,2022,기타,63558,36151,102,729
도봉구,2022,33,14813,2945,40,1221
도봉구,2022,59,24462,6271,58,3108
도봉구,2022,84,37008,13160,79,2064
도봉구,2022,기타,54472,21772,116,280
동대문구,2022,33,19922,5236,42,2104
동대문구,2022,59,44587,15387,80,2807
동대문구,2022,84,53498,24448,112,2743
동대문구,2022,기타,55417,24480,115,710
동작구,2022,33,13628,2937,40,1113
동작구,2022,59,47671,21994,85,2932
동작구,2022,84,66358,33875,113,3871
동작구,2022,기타,77806,41967,127,1030
마포구,2022,33,22135,5915,47,1637
마포구,2022,59,45092,16302,87,5404
마포구,2022,84,68969,29114,159,4050
마포구,2022,기타,92325,42382,223,1132
서대문구,2022,33,16459,5561,36,1531
서대문구,2022,59,44349,16908,89,3046
서대문구,2022,84,55808,25645,115,3105
서대문구,2022,기타,67966,33642,142,569
서초구,2022,33,31646,5828,73,1216
서초구,2022,59,57466,25474,102,4112
서초구,2022,84,95987,51122,200,6311
서초구,2022,기타,132869,71205,273,3514
성동구,2022,33,21634,6331,47,863
성동구,2022,59,55371,21531,134,4148
성동구,2022,84,69730,31423,164,4075
성동구,2022,기타,94217,44958,294,1143
성북구,2022,33,15746,5127,30,1434
성북구,2022,59,41323,13739,78,4306
성북구,2022,84,51795,21621,107,3269
성북구,2022,기타,65147,31280,125,939
송파구,2022,33,34544,8078,48,2845
송파구,2022,59,51151,20020,78,6062
송파구,2022,84,72310,39469,146,9786
송파구,2022,기타,97522,53145,176,3202
양천구,2022,33,7016,4142,21,939
양천구,2022,59,37773,15215,65,5290
양천구,2022,84,58221,34833,100,4540
양천구,2022,기타,90075,66136,135,1425
영등포구,2022,33,20187,7061,37,1874
영등포구,2022,59,43354,18642,67,5013
영등포구,2022,84,56905,25897,106,4216
영등포구,2022,기타,86178,43067,168,1259
용산구,2022,33,24503,8634,37,1045
