구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
종로구,11110,202103,종로센트레빌,숭인동,84.92,5,70000,0,,2021-03-15,2008
종로구,11110,202103,경희궁자이(2단지),홍파동,59.895,12,70350,0,,2021-03-17,2017
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,7,14000,320,,2021-03-16,2017
종로구,11110,202103,경희궁롯데캐슬,무악동,84.8792,13,73500,0,,2021-03-17,2019
종로구,11110,202103,삼전솔하임4차,숭인동,15.09,15,10000,15,,2021-03-18,2014
종로구,11110,202103,창신쌍용1,창신동,54.7,11,38000,0,,2021-03-11,1992
종로구,11110,202103,종로청계힐스테이트,숭인동,59.9426,8,58000,0,,2021-03-06,2009
종로구,11110,202103,종로센트레빌,숭인동,59.92,5,55000,0,,2021-03-03,2008
종로구,11110,202103,일우,창신동,59.3,1,18000,0,,2021-03-05,2002
종로구,11110,202103,현대뜨레비앙,익선동,46.64,2,4000,80,,2021-03-17,2003
종로구,11110,202103,경희궁자이(3단지),평동,59.8547,8,5000,169,,2021-03-06,2017
종로구,11110,202103,창신쌍용2,창신동,79.87,13,34000,0,,2021-03-20,1993
종로구,11110,202103,현대,무악동,84.92,3,70000,0,,2021-03-06,2000
종로구,11110,202103,인왕산2차아이파크,무악동,84.0284,11,80000,0,,2021-03-16,2015
종로구,11110,202103,종로중흥S클래스,숭인동,17.811,9,1000,55,,2021-03-03,2013
종로구,11110,202103,창신쌍용1,창신동,54.7,8,5000,75,,2021-03-29,1992
종로구,11110,202103,광화문스페이스본(101동~105동),사직동,108.07,2,60000,170,,2021-03-18,2008
종로구,11110,202103,아남1,명륜2가,84.9,13,60000,0,,2021-03-29,1995
종로구,11110,202103,롯데낙천대,평창동,87.27,1,40000,7,,2021-03-12,2001
종로구,11110,202103,동대문,창신동,28.8,3,1000,50,,2021-03-15,1966
종로구,11110,202103,경희궁자이(2단지),홍파동,84.8359,18,74550,0,,2021-03-26,2017
종로구,11110,202103,경희궁자이(2단지),홍파동,59.8547,3,97000,0,,2021-03-13,2017
종로구,11110,202103,창신쌍용2,창신동,64.66,8,26250,0,,2021-03-27,1993
종로구,11110,202103,종로센트레빌,숭인동,59.92,10,36000,0,,2021-03-13,2008
종로구,11110,202103,인왕산아이파크,무악동,84.858,5,56000,13,,2021-03-19,2008
종로구,11110,202103,종로동광모닝스카이,숭인동,15.855,9,500,55,,2021-03-10,2013
종로구,11110,202103,인왕산아이파크,무악동,84.858,13,20000,180,,2021-03-27,2008
종로구,11110,202103,창신이수,창신동,84.5,7,50000,0,,2021-03-01,2003
종로구,11110,202103,경희궁자이(3단지),평동,59.855,8,20550,95,,2021-03-28,2017
종로구,11110,202103,창신쌍용1,창신동,79.87,14,10000,110,,2021-03-13,1992
종로구,11110,202103,경희궁자이(2단지),홍파동,77.974,17,73500,0,,2021-03-16,2017
종로구,11110,202103,경희궁자이(2단지),홍파동,84.907,12,63000,0,,2021-03-06,2017
종로구,11110,202103,동대문,창신동,28.8,5,500,60,,2021-03-15,1966
종로구,11110,202103,경희궁자이(2단지),홍파동,59.855,16,30000,150,,2021-03-13,2017
종로구,11110,202103,경희궁자이(3단지),평동,59.855,1,40000,98,,2021-03-31,2017
종로구,11110,202103,경희궁자이(3단지),평동,84.614,9,75600,0,,2021-03-25,2017
종로구,11110,202103,경희궁자이(3단지),평동,84.836,12,30000,250,,2021-03-06,2017
종로구,11110,202103,경희궁파크팰리스,내수동,103.77,14,50000,130,,2021-03-24,2003
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,11,10000,222,,2021-03-17,2017
종로구,11110,202103,현대,무악동,84.92,20,72000,0,,2021-03-06,2000
종로구,11110,202103,포레스트힐시티,효제동,14.1832,13,15855,0,,2021-03-24,2017
종로구,11110,202103,영하우스,숭인동,20.27,8,4864,36,,2021-03-27,2015
종로구,11110,202103,숭인상가,숭인동,78.75,5,25000,0,,2021-03-08,1979
종로구,11110,202103,두산,창신동,59.95,8,6000,100,,2021-03-17,1999
종로구,11110,202103,종로아인스빌,숭인동,12.15,13,12000,0,,2021-03-08,2013
종로구,11110,202103,청호그린빌,누상동,29.76,4,14700,0,,2021-03-30,1999
종로구,11110,202103,경희궁자이(2단지),홍파동,84.907,15,66150,0,,2021-03-26,2017
종로구,11110,202103,창신쌍용1,창신동,79.87,9,45000,0,,2021-03-19,1992
종로구,11110,202103,미니,창신동,53.73,2,4000,60,,2021-03-29,1995
종로구,11110,202103,창신쌍용1,창신동,79.87,13,51000,0,,2021-03-06,1992
종로구,11110,202103,경희궁자이(3단지),평동,59.855,10,71500,0,,2021-03-08,2017
종로구,11110,202103,창신쌍용1,창신동,54.7,13,35000,0,,2021-03-17,1992
종로구,11110,202103,경희궁자이(3단지),평동,84.614,1,73500,0,,2021-03-21,2017
종로구,11110,202103,창신쌍용2,창신동,64.66,4,35000,0,,2021-03-13,1993
종로구,11110,202103,두산,창신동,59.95,21,5000,120,,2021-03-27,1999
종로구,11110,202103,명륜동주상복합아남아파트,명륜2가,47.43,5,3000,120,신규,2021-03-12,1999
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,8,90000,0,,2021-03-30,2017
종로구,11110,202103,경희궁롯데캐슬,무악동,84.8792,13,105000,0,,2021-03-06,2019
종로구,11110,202103,종로청계힐스테이트,숭인동,59.9426,1,39900,0,,2021-03-17,2009
종로구,11110,202103,종로센트레빌,숭인동,59.92,12,38500,0,,2021-03-15,2008
종로구,11110,202103,동대문,창신동,28.8,3,1000,50,,2021-03-15,1966
종로구,11110,202103,창신쌍용2,창신동,64.66,3,40000,0,,2021-03-30,1993
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,21,87675,0,,2021-03-12,2017
종로구,11110,202103,경희궁자이(4단지),교북동,37.2635,8,30000,16,,2021-03-27,2017
종로구,11110,202103,영하우스,숭인동,16.59,18,4560,34,,2021-03-27,2015
종로구,11110,202103,경희궁자이(2단지),홍파동,84.836,16,78500,0,,2021-03-31,2017
종로구,11110,202103,경희궁자이(2단지),홍파동,59.895,7,71400,0,,2021-03-30,2017
종로구,11110,202103,영하우스,숭인동,20.27,12,4352,32,,2021-03-27,2015
종로구,11110,202103,인왕산아이파크,무악동,59.993,8,52500,0,,2021-03-31,2008
종로구,11110,202103,창신쌍용2,창신동,106.62,12,36500,0,,2021-03-27,1993
종로구,11110,202103,경희궁자이(3단지),평동,59.755,3,5000,189,,2021-03-16,2017
종로구,11110,202103,영하우스,숭인동,20.27,14,4864,36,,2021-03-16,2015
종로구,11110,202103,포레스트힐시티,효제동,14.6825,7,15750,0,,2021-03-26,2017
종로구,11110,202103,창신쌍용2,창신동,64.66,9,27300,0,,2021-03-13,1993
종로구,11110,202103,운현신화타워,익선동,47.61,15,30000,0,,2021-03-30,1998
종로구,11110,202103,인왕산아이파크,무악동,114.931,2,67000,40,,2021-03-05,2008
종로구,11110,202103,롯데캐슬천지인,숭인동,112.54,27,82000,0,,2021-03-30,2004
종로구,11110,202103,형우럭스빌(33-1),평창동,103.07,4,25000,20,,2021-03-13,2005
종로구,11110,202103,영하우스,숭인동,20.27,8,4864,36,,2021-03-09,2015
종로구,11110,202103,종로중흥S클래스,숭인동,19.466,11,4000,40,,2021-03-10,2013
종로구,11110,202103,경희궁자이(2단지),홍파동,84.614,9,120000,0,,2021-03-30,2017
종로구,11110,202103,창신쌍용2,창신동,79.87,14,44000,0,,2021-03-30,1993
종로구,11110,202103,경희궁자이(2단지),홍파동,59.855,12,8000,250,,2021-03-16,2017
종로구,11110,202103,현대,무악동,84.92,6,48000,0,,2021-03-26,2000
종로구,11110,202103,익성씨티하임,숭인동,15.76,11,5000,35,,2021-03-10,2013
