aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
,삼전솔하임4차,2014,개인,,,"13,100",31,1,2026,중개거래,서울 종로구,15.09,12,318-2,N,,11110,개인,숭인동,종로구
,동대문,1966,개인,,,"36,500",31,1,2026,중개거래,서울 종로구,28.8,1,328-17,N,,11110,개인,창신동,종로구
,아남1,1995,개인,,,"108,000",31,1,2026,중개거래,서울 종로구,84.9,1,4,N,,11110,개인,명륜2가,종로구
,아남1,1995,개인,,,"122,000",17,1,2026,중개거래,서울 종로구,84.9,6,4,N,,11110,개인,명륜2가,종로구
,롯데낙천대,2001,개인,,,"95,000",31,1,2026,중개거래,서울 종로구,84.82,9,72,N,,11110,개인,평창동,종로구
,창신쌍용2,1993,개인,,,"63,800",31,1,2026,중개거래,서울 종로구,54.7,3,703,N,,11110,개인,창신동,종로구
,명륜동주상복합아남아파트,1999,개인,,,"97,500",14,1,2026,중개거래,서울 종로구,65.78,4,237,N,,11110,개인,명륜2가,종로구
,광화문스페이스본(101동~105동),2008,개인,,,"250,000",20,1,2026,중개거래,"서울 서초구, 서울 종로구",147.31,3,9,N,,11110,개인,사직동,종로구
,경희궁의아침2단지,2004,개인,,,"270,000",30,1,2026,중개거래,서울 종로구,174.55,2,71,N,,11110,개인,내수동,종로구
,경희궁파크팰리스,2003,개인,,,"166,000",13,1,2026,중개거래,서울 용산구,103.77,12,95,N,,11110,개인,내수동,종로구
,경희궁자이(4단지),2017,개인,,,"137,000",29,1,2026,중개거래,서울 종로구,45.879,13,126,N,,11110,개인,교북동,종로구
206,창신쌍용2,1993,개인,,,"83,000",26,1,2026,직거래,,115.53,7,703,N,26.02.11,11110,개인,창신동,종로구
,포레스트힐시티,2017,개인,,,"23,000",20,1,2026,중개거래,서울 종로구,18.505,10,65-2,N,,11110,개인,효제동,종로구
,창신쌍용2,1993,개인,,,"73,000",15,1,2026,중개거래,경기 용인시 수지구,64.66,12,703,N,,11110,개인,창신동,종로구
105,종로청계힐스테이트,2009,개인,,,"110,000",8,1,2026,중개거래,서울 종로구,84.9478,7,766,N,26.02.12,11110,개인,숭인동,종로구
,CS타워,2011,개인,,,"13,300",26,1,2026,중개거래,대구 수성구,22.17,8,62-2,N,,11110,개인,충신동,종로구
,현대,2000,개인,,,"112,900",26,1,2026,중개거래,서울 종로구,60.0,6,82,N,,11110,개인,무악동,종로구
,창신쌍용2,1993,개인,,,"71,900",22,1,2026,중개거래,서울 종로구,79.87,5,703,N,,11110,개인,창신동,종로구
,경희궁자이(2단지),2017,개인,,,"277,500",24,1,2026,중개거래,"서울 서대문구, 서울 종로구",84.9895,19,199,N,,11110,개인,홍파동,종로구
,마운틴뷰,2019,개인,,,"51,000",7,1,2026,중개거래,서울 종로구,56.77,5,125-5,N,,11110,법인,구기동,종로구
,디팰리스,2020,개인,,,"500,000",10,1,2026,중개거래,서울 종로구,158.324,12,171,N,,11110,개인,신문로2가,종로구
,인왕산2차아이파크,2015,개인,,,"138,000",22,1,2026,중개거래,서울 서대문구,84.068,3,88,N,,11110,개인,무악동,종로구
,숭인상가,1979,개인,,,"63,300",13,1,2026,중개거래,서울 중구,78.75,5,204-11,N,,11110,개인,숭인동,종로구
,명륜동주상복합아남아파트,1999,개인,26.01.29,O,"97,500",14,1,2026,중개거래,서울 종로구,65.78,4,237,N,,11110,개인,명륜2가,종로구
,창신쌍용1,1992,개인,,,"71,700",19,1,2026,중개거래,서울 종로구,54.7,14,702,N,,11110,개인,창신동,종로구
,두산,1999,개인,,,"110,000",20,1,2026,중개거래,서울 종로구,84.9,18,232,N,,11110,개인,창신동,종로구
,아남1,1995,개인,,,"122,500",19,1,2026,중개거래,서울 종로구,84.9,5,4,N,,11110,개인,명륜2가,종로구
,현대,2000,개인,,,"122,980",17,1,2026,중개거래,서울 종로구,84.92,2,82,N,,11110,개인,무악동,종로구
,인왕산아이파크,2008,개인,,,"153,000",17,1,2026,중개거래,서울 종로구,114.931,3,60,N,,11110,개인,무악동,종로구
,창신쌍용2,1993,개인,,,"65,000",17,1,2026,중개거래,서울 종로구,54.7,13,703,N,,11110,개인,창신동,종로구
,경희궁자이(4단지),2017,개인,,,"98,000",17,1,2026,중개거래,"서울 은평구, 서울 종로구",37.2635,18,126,N,,11110,개인,교북동,종로구
,청운현대,2000,개인,,,"160,000",3,1,2026,중개거래,서울 종로구,103.67,2,56-45,N,,11110,개인,청운동,종로구
,창신쌍용2,1993,개인,,,"65,000",8,1,2026,중개거래,서울 종로구,54.7,12,703,N,,11110,개인,창신동,종로구
106,롯데캐슬로잔,2009,개인,,,"211,540",9,1,2026,중개거래,서울 종로구,219.775,4,108,N,26.02.03,11110,법인,평창동,종로구
,현대뜨레비앙,2003,개인,,,"47,000",9,1,2026,중개거래,서울 종로구,46.64,4,55,N,,11110,개인,익선동,종로구
,디팰리스,2020,개인,,,"740,000",7,1,2026,중개거래,"서울 서초구, 서울 종로구",182.058,9,171,N,,11110,개인,신문로2가,종로구
,광화문스페이스본(101동~105동),2008,개인,,,"220,000",6,1,2026,중개거래,서울 종로구,158.99,12,9,N,,11110,개인,사직동,종로구
,마운틴뷰,2019,개인,,,"50,000",2,1,2026,중개거래,서울 종로구,59.38,5,125-5,N,26.01.16,11110,법인,구기동,종로구
,현대,2000,개인,,,"147,470",6,1,2026,중개거래,서울 종로구,114.9,4,82,N,,11110,개인,무악동,종로구
,디팰리스,2020,개인,,,"475,000",6,1,2026,중개거래,서울 강남구,148.111,13,171,N,,11110,개인,신문로2가,종로구
,인왕산아이파크,2008,개인,,,"134,000",3,1,2026,중개거래,"서울 서대문구, 서울 종로구",84.858,4,60,N,,11110,개인,무악동,종로구
,인왕산2차아이파크,2015,개인,,,"139,000",3,1,2026,중개거래,"서울 강남구, 서울 종로구",84.0284,9,88,N,,11110,개인,무악동,종로구
,두산,1999,개인,,,"110,000",4,2,2026,중개거래,서울 종로구,84.9,7,232,N,,11110,개인,창신동,종로구
,삼전솔하임2차,2012,개인,,,"11,300",2,2,2026,중개거래,서울 종로구,16.67,10,296-19,N,,11110,개인,숭인동,종로구
,종로유케이201,2013,개인,,,"9,100",4,2,2026,중개거래,서울 종로구,12.09,10,201-11,N,,11110,개인,숭인동,종로구
,경희궁파크팰리스,2003,개인,,,"254,000",5,2,2026,중개거래,서울 종로구,147.62,7,95,N,,11110,개인,내수동,종로구
,탑스빌,2003,개인,,,"40,700",9,2,2026,중개거래,서울 금천구,55.04,6,178-76,N,,11110,개인,숭인동,종로구
,두산,1999,개인,,,"107,000",7,2,2026,중개거래,서울 종로구,84.9,3,232,N,,11110,개인,창신동,종로구
,종로청계힐스테이트,2009,개인,,,"130,000",7,2,2026,중개거래,서울 종로구,114.7153,1,766,N,,11110,개인,숭인동,종로구
,인왕산아이파크,2008,개인,,,"157,000",6,2,2026,중개거래,서울 종로구,84.858,14,60,N,,11110,개인,무악동,종로구
,종로센트레빌,2008,개인,,,"112,000",4,2,2026,중개거래,서울 종로구,84.92,1,2-1,N,,11110,개인,숭인동,종로구
,창신쌍용2,1993,개인,,,"65,600",2,2,2026,중개거래,서울 종로구,54.7,2,703,N,,11110,개인,창신동,종로구
,동아,1995,개인,,,"78,500",1,2,2026,중개거래,서울 종로구,59.98,4,101,N,,11110,개인,교북동,종로구
,삼성사이버빌리지,2001,개인,,,"152,000",12,1,2026,중개거래,서울 중구,59.93,2,200,N,,11140,개인,중림동,중구
,세운푸르지오헤리시티,2023,개인,,,"36,000",31,1,2026,중개거래,서울 중구,24.5533,12,240,N,,11140,개인,인현동2가,중구
,남산타운,2002,개인,,,"149,500",11,1,2026,중개거래,서울 중구,59.94,12,844,N,,11140,개인,신당동,중구
,삼성,1999,개인,,,"157,500",13,1,2026,중개거래,서울 성동구,84.96,12,843,N,,11140,개인,신당동,중구
,약수하이츠,1999,개인,,,"174,000",30,1,2026,중개거래,서울 중구,84.88,3,842,N,,11140,개인,신당동,중구
,약수하이츠,1999,개인,,,"148,000",28,1,2026,중개거래,서울 중구,57.63,4,842,N,,11140,개인,신당동,중구
,현대,1993,개인,,,"145,000",31,1,2026,중개거래,"서울 서초구, 서울 중구",139.275,1,840,N,,11140,개인,신당동,중구
,충무로엘크루메크로시티2차,2016,개인,,,"21,500",31,1,2026,중개거래,"서울 관악구, 서울 중구",22.75,6,36-2,N,,11140,개인,충무로5가,중구
주건축물제1동,위너빌(Winnervill),2018,개인,,,"38,000",9,1,2026,중개거래,경기 성남시 수정구,28.55,6,1200,N,26.02.06,11140,개인,황학동,중구
,남산트라팰리스,2010,개인,,,"230,000",27,1,2026,중개거래,서울 용산구,126.78,25,827,N,,11140,개인,남대문로5가,중구
,힐스테이트세운센트럴2단지,2023,개인,,,"140,000",23,1,2026,중개거래,서울 중구,56.5067,18,280,N,,11140,개인,입정동,중구
