권역,기점역,대상역,정차구간,환승구간,소요시간(분),이동거리(km),기본운임(원)
30분 권역,강남,선정릉,4,1,1.5,0.7,1550
30분 권역,강남,역삼,1,0,1.8,0.8,1550
30분 권역,강남,학동,4,1,2.0,0.9,1550
30분 권역,강남,신논현,1,0,2.0,0.9,1550
30분 권역,강남,기흥,13,1,2.2,1.0,1550
30분 권역,강남,청담,6,1,2.4,1.1,1550
30분 권역,강남,지석,16,2,2.4,1.1,1550
30분 권역,강남,압구정로데오,6,1,2.6,1.2,1550
30분 권역,강남,교대,1,0,2.6,1.2,1550
30분 권역,강남,선릉,2,0,3.1,1.4,1550
30분 권역,강남,양재,1,0,3.3,1.5,1550
30분 권역,강남,삼성중앙,5,1,3.3,1.5,1550
30분 권역,강남,언주,3,1,3.5,1.6,1550
30분 권역,강남,논현,2,0,3.7,1.7,1550
30분 권역,강남,사평,3,1,4.0,1.8,1550
30분 권역,강남,서초,2,0,4.2,1.9,1550
30분 권역,강남,어정,17,2,4.4,2.0,1550
30분 권역,강남,남부터미널,3,1,4.6,2.1,1550
30분 권역,강남,봉은사,6,1,5.1,2.3,1550
30분 권역,강남,한티,4,1,5.3,2.4,1550
30분 권역,강남,신사,3,0,5.3,2.4,1550
30분 권역,강남,신갈,12,1,5.3,2.4,1550
30분 권역,강남,반포,4,1,5.7,2.6,1550
30분 권역,강남,매봉,5,1,5.9,2.7,1550
30분 권역,강남,삼성,3,0,5.9,2.7,1550
30분 권역,강남,고속터미널,3,1,6.2,2.8,1550
30분 권역,강남,상갈,14,1,6.4,2.9,1550
30분 권역,강남,도곡,5,1,6.8,3.1,1550
30분 권역,강남,자양,7,1,6.8,3.1,1550
30분 권역,강남,양재시민의숲,2,0,6.8,3.1,1550
30분 권역,강남,서울숲,7,1,6.8,3.1,1550
30분 권역,강남,동백,18,2,7.0,3.2,1550
30분 권역,강남,강남,0,0,7.3,3.3,1550
30분 권역,강남,강남구청,5,1,7.3,3.3,1550
30분 권역,강남,잠원,4,1,7.3,3.3,1550
30분 권역,강남,방배,3,0,7.9,3.6,1550
30분 권역,강남,신반포,5,1,7.9,3.6,1550
30분 권역,강남,구룡,6,1,8.1,3.7,1550
30분 권역,강남,종합운동장,4,0,8.1,3.7,1550
30분 권역,강남,대치,7,1,8.6,3.9,1550
30분 권역,강남,압구정,6,1,8.6,3.9,1550
30분 권역,강남,구성,11,1,8.8,4.0,1550
30분 권역,강남,건대입구,10,0,9.0,4.1,1550
30분 권역,강남,구반포,6,1,9.5,4.3,1550
30분 권역,강남,초당,19,2,9.5,4.3,1550
30분 권역,강남,개포동,7,1,9.7,4.4,1550
30분 권역,강남,학여울,8,1,10.3,4.7,1550
30분 권역,강남,어린이대공원,9,1,10.8,4.9,1550
30분 권역,강남,잠실새내,5,0,10.8,4.9,1550
30분 권역,강남,내방,6,1,11.0,5.0,1550
30분 권역,강남,대모산입구,8,1,11.0,5.0,1550
30분 권역,강남,삼전,6,1,11.2,5.1,1550
30분 권역,강남,사당,4,0,11.4,5.2,1550
30분 권역,강남,성수,11,0,11.7,5.3,1550
30분 권역,강남,동작,7,1,11.7,5.3,1550
30분 권역,강남,대청,9,1,12.3,5.6,1550
30분 권역,강남,보정,10,1,12.3,5.6,1550
30분 권역,강남,구의,9,0,12.5,5.7,1550
30분 권역,강남,청명,15,1,12.5,5.7,1550
30분 권역,강남,석촌고분,7,1,13.0,5.9,1550
30분 권역,강남,군자,10,1,13.2,6.0,1550
30분 권역,강남,청계산입구,3,0,13.2,6.0,1550
30분 권역,강남,옥수,7,1,13.2,6.0,1550
30분 권역,강남,총신대입구,6,1,13.2,6.0,1550
30분 권역,강남,이수,6,1,13.2,6.0,1550
30분 권역,강남,마장,10,2,13.2,6.0,1550
30분 권역,강남,잠실,6,0,13.4,6.1,1550
30분 권역,강남,뚝섬,12,0,13.4,6.1,1550
30분 권역,강남,상왕십리,10,2,13.4,6.1,1550
30분 권역,강남,행당,10,2,13.6,6.2,1550
30분 권역,강남,한양대,13,0,13.9,6.3,1550
30분 권역,강남,강변,8,0,14.5,6.6,1550
30분 권역,강남,응봉,9,2,14.7,6.7,1550
30분 권역,강남,흑석,8,1,14.7,6.7,1550
30분 권역,강남,영통,16,1,15.0,6.8,1550
30분 권역,강남,일원,10,1,15.0,6.8,1550
30분 권역,강남,남태령,6,1,15.0,6.8,1550
30분 권역,강남,금호,8,1,15.0,6.8,1550
30분 권역,강남,죽전,9,1,15.2,6.9,1550
30분 권역,강남,낙성대,5,0,15.2,6.9,1550
30분 권역,강남,삼가,20,2,15.2,6.9,1550
30분 권역,강남,석촌,8,1,15.2,6.9,1550
30분 권역,강남,몽촌토성,8,1,15.2,6.9,1550
30분 권역,강남,남성,8,1,15.4,7.0,1550
30분 권역,강남,신당,11,2,15.4,7.0,1550
30분 권역,강남,아차산,13,2,15.4,7.0,1550
30분 권역,강남,신금호,11,2,15.4,7.0,1550
30분 권역,강남,답십리,11,2,15.4,7.0,1550
30분 권역,강남,잠실나루,7,0,15.6,7.1,1550
30분 권역,강남,중곡,11,1,15.6,7.1,1550
30분 권역,강남,장한평,12,2,16.5,7.5,1550
30분 권역,강남,약수,9,1,16.7,7.6,1550
30분 권역,강남,한남,9,2,16.7,7.6,1550
30분 권역,강남,동묘앞,13,2,16.7,7.6,1550
30분 권역,강남,용답,13,1,16.7,7.6,1550
30분 권역,강남,청구,11,2,16.9,7.7,1550
30분 권역,강남,송파나루,9,1,16.9,7.7,1550
30분 권역,강남,송파,9,1,17.2,7.8,1550
30분 권역,강남,노들,9,1,17.2,7.8,1550
30분 권역,강남,시청.용인대,21,2,17.4,7.9,1550
30분 권역,강남,서울대입구,6,0,17.4,7.9,1550
30분 권역,강남,동대문역사문화공원,12,2,17.4,7.9,1550
30분 권역,강남,용마산,12,1,17.6,8.0,1550
30분 권역,강남,수서,9,1,17.6,8.0,1550
30분 권역,강남,이촌,8,1,17.6,8.0,1550
30분 권역,강남,동대문,13,2,18.0,8.2,1550
30분 권역,강남,동대입구,10,1,18.3,8.3,1550
30분 권역,강남,신설동,16,1,18.3,8.3,1550
30분 권역,강남,버티고개,11,2,18.3,8.3,1550
30분 권역,강남,망포,17,1,18.3,8.3,1550
30분 권역,강남,광나루,12,2,18.7,8.5,1550
30분 권역,강남,한성백제,10,1,18.7,8.5,1550
30분 권역,강남,창신,14,2,18.7,8.5,1550
30분 권역,강남,강동구청,9,1,18.7,8.5,1550
30분 권역,강남,가락시장,10,1,18.9,8.6,1550
30분 권역,강남,신답,14,1,18.9,8.6,1550
30분 권역,강남,오리,8,1,19.1,8.7,1550
30분 권역,강남,제기동,11,2,19.1,8.7,1550
30분 권역,강남,을지로4가,14,2,19.4,8.8,1550
30분 권역,강남,사가정,13,1,19.4,8.8,1550
30분 권역,강남,선바위,7,1,19.4,8.8,1550
30분 권역,강남,노량진,10,1,19.6,8.9,1550
30분 권역,강남,봉천,7,0,19.6,8.9,1550
30분 권역,강남,명지대,22,2,19.6,8.9,1550
30분 권역,강남,종로5가,14,2,19.8,9.0,1550
30분 권역,강남,숭실대입구,9,1,19.8,9.0,1550
30분 권역,강남,충무로,11,1,20.2,9.2,1550
30분 권역,강남,한강진,12,2,20.5,9.3,1550
30분 권역,강남,신용산,9,1,20.5,9.3,1550
30분 권역,강남,보문,15,2,20.5,9.3,1550
30분 권역,강남,천호,10,1,20.7,9.4,1550
30분 권역,강남,을지로3가,12,1,20.7,9.4,1550
30분 권역,강남,경찰병원,13,1,20.7,9.4,1550
30분 권역,강남,용두,15,1,20.9,9.5,1550
30분 권역,강남,문정,11,1,20.9,9.5,1550
30분 권역,강남,서빙고,10,2,20.9,9.5,1550
30분 권역,강남,혜화,14,2,21.3,9.7,1550
30분 권역,강남,김량장,23,2,21.3,9.7,1550
30분 권역,강남,면목,14,1,21.3,9.7,1550
30분 권역,강남,종로3가,13,1,21.6,9.8,1550
30분 권역,강남,경마공원,8,1,21.6,9.8,1550
30분 권역,강남,미금,6,0,21.6,9.8,1550
30분 권역,강남,외대앞,13,3,21.8,9.9,1550
30분 권역,강남,명동,12,2,21.8,9.9,1550
30분 권역,강남,상도,10,1,21.8,9.9,1550
30분 권역,강남,올림픽공원,11,1,21.8,9.9,1550
30분 권역,강남,삼각지,10,1,22.0,10.0,1550
30분 권역,강남,신림,8,0,22.0,10.0,1550
30분 권역,강남,매탄권선,18,1,22.2,10.1,1650
30분 권역,강남,샛강,11,1,22.2,10.1,1650
30분 권역,강남,오금,14,1,22.4,10.2,1650
30분 권역,강남,성신여대입구,16,2,22.4,10.2,1650
30분 권역,강남,강동,12,2,22.4,10.2,1650
30분 권역,강남,을지로입구,14,2,22.4,10.2,1650
30분 권역,강남,안암,16,2,22.4,10.2,1650
30분 권역,강남,이태원,13,2,22.7,10.3,1650
30분 권역,강남,대방,12,2,22.9,10.4,1650
30분 권역,강남,장지,12,1,22.9,10.4,1650
30분 권역,강남,상봉,15,1,23.1,10.5,1650
30분 권역,강남,한성대입구,15,2,23.3,10.6,1650
30분 권역,강남,당곡,10,1,23.3,10.6,1650
30분 권역,강남,회현,13,1,23.3,10.6,1650
30분 권역,강남,종각,15,2,23.3,10.6,1650
30분 권역,강남,대공원,9,1,23.5,10.7,1650
30분 권역,강남,암사,11,1,23.5,10.7,1650
30분 권역,강남,신이문,14,3,23.5,10.7,1650
30분 권역,강남,용인중앙시장,24,2,23.5,10.7,1650
30분 권역,강남,방이,13,2,23.8,10.8,1650
30분 권역,강남,장승배기,11,1,23.8,10.8,1650
30분 권역,강남,안국,14,1,23.8,10.8,1650
30분 권역,강남,둔촌오륜,12,1,24.0,10.9,1650
30분 권역,강남,서원,10,1,24.0,10.9,1650
30분 권역,강남,시청,14,2,24.0,10.9,1650
30분 권역,강남,여의도,12,1,24.0,10.9,1650
30분 권역,강남,광화문,15,2,24.2,11.0,1650
30분 권역,강남,고려대,17,2,24.2,11.0,1650
30분 권역,강남,개롱,15,2,24.4,11.1,1650
30분 권역,강남,보라매병원,11,1,24.4,11.1,1650
30분 권역,강남,녹사평,12,2,24.4,11.1,1650
30분 권역,강남,길동,13,2,24.4,11.1,1650
30분 권역,강남,서울지방병무청,14,1,24.6,11.2,1650
30분 권역,강남,효창공원앞,12,2,24.6,11.2,1650
30분 권역,강남,복정,10,1,24.6,11.2,1650
30분 권역,강남,숙대입구,11,1,24.6,11.2,1650
30분 권역,강남,신길,13,2,24.6,11.2,1650
30분 권역,강남,둔촌동,13,2,24.9,11.3,1650
30분 권역,강남,남영,13,2,25.1,11.4,1650
30분 권역,강남,정릉,18,3,25.1,11.4,1650
30분 권역,강남,수원시청,19,1,25.3,11.5,1650
30분 권역,강남,중화,16,1,25.3,11.5,1650
30분 권역,강남,동천,7,0,25.3,11.5,1650
30분 권역,강남,서울역,12,1,25.3,11.5,1650
30분 권역,강남,고진,25,2,25.5,11.6,1650
30분 권역,강남,정자,5,0,25.5,11.6,1650
30분 권역,강남,길음,17,2,25.5,11.6,1650
30분 권역,강남,과천,10,1,25.7,11.7,1650
30분 권역,강남,보라매공원,12,1,25.7,11.7,1650
30분 권역,강남,신대방,9,0,26.0,11.8,1650
30분 권역,강남,암사역사공원,12,1,26.0,11.8,1650
30분 권역,강남,보라매,13,1,26.0,11.8,1650
30분 권역,강남,국회의사당,14,2,26.0,11.8,1650
30분 권역,강남,경복궁,15,1,26.2,11.9,1650
30분 권역,강남,굽은다리,14,2,26.2,11.9,1650
30분 권역,강남,서울대벤처타운,11,1,26.2,11.9,1650
30분 권역,강남,여의나루,14,2,26.2,11.9,1650
30분 권역,강남,거여,16,2,26.4,12.0,1650
30분 권역,강남,충정로,18,2,26.4,12.0,1650
30분 권역,강남,신대방삼거리,12,1,26.4,12.0,1650
30분 권역,강남,공덕,16,2,26.6,12.1,1650
30분 권역,강남,석계,15,3,26.6,12.1,1650
30분 권역,강남,서대문,16,2,26.6,12.1,1650
30분 권역,강남,영등포,14,2,26.8,12.2,1650
30분 권역,강남,영등포시장,15,2,27.1,12.3,1650
30분 권역,강남,먹골,17,1,27.3,12.4,1650
30분 권역,강남,월곡,18,2,27.3,12.4,1650
30분 권역,강남,중앙보훈병원,13,1,27.7,12.6,1650
30분 권역,강남,북한산보국문,19,3,27.7,12.6,1650
30분 권역,강남,명일,15,2,27.7,12.6,1650
30분 권역,강남,정부과천청사,11,1,27.9,12.7,1650
30분 권역,강남,신풍,13,1,27.9,12.7,1650
30분 권역,강남,남위례,14,1,27.9,12.7,1650
30분 권역,강남,양원,15,2,28.2,12.8,1650
30분 권역,강남,아현,17,2,28.2,12.8,1650
30분 권역,강남,애오개,17,2,28.4,12.9,1650
30분 권역,강남,미아사거리,18,2,28.4,12.9,1650
30분 권역,강남,마천,17,2,28.4,12.9,1650
30분 권역,강남,마포,15,2,28.4,12.9,1650
30분 권역,강남,태릉입구,18,1,28.4,12.9,1650
30분 권역,강남,구로디지털단지,10,0,28.4,12.9,1650
30분 권역,강남,매교,20,1,28.4,12.9,1650
30분 권역,강남,대흥,14,2,28.6,13.0,1650
30분 권역,강남,관악산,12,1,28.6,13.0,1650
30분 권역,강남,돌곶이,20,2,28.8,13.1,1650
30분 권역,강남,영등포구청,14,0,29.0,13.2,1650
30분 권역,강남,상월곡,19,2,29.0,13.2,1650
30분 권역,강남,광운대,16,3,29.0,13.2,1650
30분 권역,강남,신내,16,3,29.0,13.2,1650
30분 권역,강남,수내,7,1,29.0,13.2,1650
30분 권역,강남,당산,14,1,29.3,13.3,1650
30분 권역,강남,보평,26,2,29.5,13.4,1650
30분 권역,강남,독립문,16,1,29.7,13.5,1650
30분 권역,강남,가천대,11,1,29.9,13.6,1650
30분 권역,강남,수지구청,8,0,29.9,13.6,1650
45분 권역,강남,이대,18,2,30.1,13.7,1650
45분 권역,강남,신도림,12,0,30.1,13.7,1650
45분 권역,강남,공릉,19,1,30.1,13.7,1650
45분 권역,강남,화랑대,23,2,30.4,13.8,1650
45분 권역,강남,솔샘,20,3,30.4,13.8,1650
45분 권역,강남,고덕,16,2,30.4,13.8,1650
45분 권역,강남,산성,15,1,30.6,13.9,1650
45분 권역,강남,광흥창,15,2,30.8,14.0,1650
45분 권역,강남,양평,17,2,30.8,14.0,1650
45분 권역,강남,서강대,13,2,30.8,14.0,1650
45분 권역,강남,대림,11,0,30.8,14.0,1650
45분 권역,강남,문래,13,0,31.0,14.1,1650
45분 권역,강남,판교,4,0,31.2,14.2,1650
45분 권역,강남,월계,16,2,31.5,14.3,1650
45분 권역,강남,서현,8,1,31.5,14.3,1650
