권역,기점역,대상역,정차구간,환승구간,소요시간(분),이동거리(km),기본운임(원)
30분 권역,광화문,서대문,1,0,2.4,1.1,1550
30분 권역,광화문,종로3가,1,0,2.6,1.2,1550
30분 권역,광화문,을지로3가,4,1,4.0,1.8,1550
30분 권역,광화문,충정로,2,0,4.0,1.8,1550
30분 권역,광화문,종각,3,1,4.4,2.0,1550
30분 권역,광화문,종로5가,3,1,4.6,2.1,1550
30분 권역,광화문,을지로4가,2,0,4.8,2.2,1550
30분 권역,광화문,안국,3,1,4.8,2.2,1550
30분 권역,광화문,충무로,5,1,5.5,2.5,1550
30분 권역,광화문,을지로입구,5,1,5.7,2.6,1550
30분 권역,광화문,아현,4,1,5.7,2.6,1550
30분 권역,광화문,애오개,3,0,5.9,2.7,1550
30분 권역,광화문,동대문,5,1,6.4,2.9,1550
30분 권역,광화문,시청,6,1,6.4,2.9,1550
30분 권역,광화문,동대문역사문화공원,3,0,6.8,3.1,1550
30분 권역,광화문,명동,6,1,7.0,3.2,1550
30분 권역,광화문,경복궁,4,1,7.3,3.3,1550
30분 권역,광화문,동대입구,5,1,7.5,3.4,1550
30분 권역,광화문,동묘앞,7,1,7.7,3.5,1550
30분 권역,광화문,이대,5,1,7.7,3.5,1550
30분 권역,광화문,공덕,4,0,8.4,3.8,1550
30분 권역,광화문,회현,7,1,8.6,3.9,1550
30분 권역,광화문,신당,5,1,8.8,4.0,1550
30분 권역,광화문,서울역,8,1,8.8,4.0,1550
30분 권역,광화문,청구,4,0,8.8,4.0,1550
30분 권역,광화문,약수,6,1,9.0,4.1,1550
30분 권역,광화문,신설동,6,1,9.2,4.2,1550
30분 권역,광화문,신촌,6,1,9.5,4.3,1550
30분 권역,광화문,혜화,6,1,9.7,4.4,1550
30분 권역,광화문,창신,8,1,9.7,4.4,1550
30분 권역,광화문,마포,5,0,10.1,4.6,1550
30분 권역,광화문,효창공원앞,6,1,10.3,4.7,1550
30분 권역,광화문,대흥,6,1,10.3,4.7,1550
30분 권역,광화문,버티고개,7,1,10.6,4.8,1550
30분 권역,광화문,신금호,5,0,10.8,4.9,1550
30분 권역,광화문,상왕십리,6,1,10.8,4.9,1550
30분 권역,광화문,금호,7,1,10.8,4.9,1550
