권역,기점역,대상역,정차구간,환승구간,소요시간(분),이동거리(km),기본운임(원)
30분 권역,성수,뚝섬,1,0,1.8,0.8,1550
30분 권역,성수,건대입구,1,0,2.6,1.2,1550
30분 권역,성수,한양대,2,0,4.2,1.9,1550
30분 권역,성수,어린이대공원,3,1,4.4,2.0,1550
30분 권역,성수,자양,3,1,4.8,2.2,1550
30분 권역,성수,구의,2,0,6.2,2.8,1550
30분 권역,성수,왕십리,3,0,6.4,2.9,1550
30분 권역,성수,군자,4,1,6.8,3.1,1550
30분 권역,성수,마장,5,1,7.9,3.6,1550
30분 권역,성수,상왕십리,4,0,8.1,3.7,1550
30분 권역,성수,강변,3,0,8.1,3.7,1550
30분 권역,성수,행당,5,1,8.4,3.8,1550
30분 권역,성수,아차산,6,2,9.0,4.1,1550
30분 권역,성수,청담,4,1,9.2,4.2,1550
30분 권역,성수,중곡,5,1,9.2,4.2,1550
30분 권역,성수,응봉,5,1,9.5,4.3,1550
30분 권역,성수,신금호,6,1,10.1,4.6,1550
30분 권역,성수,답십리,6,1,10.1,4.6,1550
30분 권역,성수,신당,5,0,10.1,4.6,1550
30분 권역,성수,장한평,7,1,10.1,4.6,1550
30분 권역,성수,용마산,6,1,11.2,5.1,1550
30분 권역,성수,서울숲,5,1,11.2,5.1,1550
30분 권역,성수,동묘앞,7,1,11.4,5.2,1550
30분 권역,성수,강남구청,5,1,11.7,5.3,1550
30분 권역,성수,청구,7,1,11.7,5.3,1550
30분 권역,성수,동대문역사문화공원,6,0,12.1,5.5,1550
30분 권역,성수,잠실나루,4,0,12.1,5.5,1550
30분 권역,성수,광나루,7,2,12.3,5.6,1550
30분 권역,성수,동대문,8,1,12.8,5.8,1550
30분 권역,성수,사가정,7,1,13.0,5.9,1550
30분 권역,성수,선정릉,8,1,13.2,6.0,1550
30분 권역,성수,옥수,6,1,13.4,6.1,1550
30분 권역,성수,약수,8,1,13.4,6.1,1550
30분 권역,성수,창신,8,1,13.4,6.1,1550
30분 권역,성수,학동,6,1,13.6,6.2,1550
30분 권역,성수,을지로4가,7,0,14.1,6.4,1550
30분 권역,성수,잠실,5,0,14.3,6.5,1550
30분 권역,성수,압구정로데오,6,1,14.3,6.5,1550
30분 권역,성수,종로5가,8,1,14.5,6.6,1550
30분 권역,성수,선릉,9,0,14.7,6.7,1550
30분 권역,성수,충무로,8,1,15.0,6.8,1550
30분 권역,성수,동대입구,11,1,15.0,6.8,1550
30분 권역,성수,삼성중앙,10,1,15.0,6.8,1550
30분 권역,성수,면목,8,1,15.0,6.8,1550
30분 권역,성수,버티고개,9,1,15.0,6.8,1550
30분 권역,성수,금호,13,1,15.2,6.9,1550
30분 권역,성수,언주,10,2,15.2,6.9,1550
30분 권역,성수,을지로3가,8,0,15.4,7.0,1550
30분 권역,성수,논현,7,1,15.8,7.2,1550
30분 권역,성수,몽촌토성,7,1,16.1,7.3,1550
30분 권역,성수,혜화,9,1,16.1,7.3,1550
30분 권역,성수,종로3가,9,1,16.3,7.4,1550
30분 권역,성수,명동,9,1,16.5,7.5,1550
30분 권역,성수,외대앞,9,1,16.5,7.5,1550
30분 권역,성수,천호,9,1,16.7,7.6,1550
30분 권역,성수,상봉,9,1,16.7,7.6,1550
30분 권역,성수,봉은사,9,1,16.7,7.6,1550
30분 권역,성수,석촌,7,1,16.9,7.7,1550
30분 권역,성수,신논현,9,2,16.9,7.7,1550
30분 권역,성수,한남,7,1,16.9,7.7,1550
30분 권역,성수,한티,10,1,16.9,7.7,1550
30분 권역,성수,잠실새내,6,0,16.9,7.7,1550
30분 권역,성수,한강진,10,1,17.2,7.8,1550
30분 권역,성수,을지로입구,9,0,17.2,7.8,1550
30분 권역,성수,신사,9,2,17.4,7.9,1550
30분 권역,성수,역삼,10,0,17.4,7.9,1550
30분 권역,성수,삼성,8,0,17.6,8.0,1550
30분 권역,성수,반포,8,1,17.8,8.1,1550
30분 권역,성수,압구정,15,1,18.0,8.2,1550
30분 권역,성수,회현,10,1,18.0,8.2,1550
30분 권역,성수,종각,12,1,18.0,8.2,1550
30분 권역,성수,한성대입구,10,1,18.0,8.2,1550
30분 권역,성수,신이문,10,1,18.3,8.3,1550
30분 권역,성수,도곡,11,1,18.5,8.4,1550
30분 권역,성수,안국,11,1,18.5,8.4,1550
30분 권역,성수,강동,11,2,18.5,8.4,1550
30분 권역,성수,송파나루,9,2,18.7,8.5,1550
30분 권역,성수,시청,10,0,18.7,8.5,1550
30분 권역,성수,강동구청,8,1,18.7,8.5,1550
30분 권역,성수,사평,12,2,18.9,8.6,1550
30분 권역,성수,광화문,10,1,18.9,8.6,1550
30분 권역,성수,송파,8,1,18.9,8.6,1550
30분 권역,성수,강남,11,0,18.9,8.6,1550
30분 권역,성수,중화,10,1,18.9,8.6,1550
30분 권역,성수,석촌고분,9,2,19.1,8.7,1550
30분 권역,성수,잠원,15,1,19.4,8.8,1550
30분 권역,성수,이태원,11,1,19.4,8.8,1550
30분 권역,성수,종합운동장,7,0,19.6,8.9,1550
30분 권역,성수,암사,10,1,19.6,8.9,1550
30분 권역,성수,고속터미널,9,1,19.8,9.0,1550
30분 권역,성수,구룡,12,1,19.8,9.0,1550
30분 권역,성수,서울역,11,1,20.0,9.1,1550
30분 권역,성수,매봉,13,2,20.2,9.2,1550
30분 권역,성수,대치,13,2,20.2,9.2,1550
30분 권역,성수,한성백제,10,2,20.5,9.3,1550
30분 권역,성수,길동,10,2,20.5,9.3,1550
30분 권역,성수,가락시장,9,1,20.7,9.4,1550
