권역,기점역,대상역,정차구간,환승구간,소요시간(분),이동거리(km),기본운임(원)
30분 권역,여의도,샛강,1,0,1.8,0.8,1550
30분 권역,여의도,국회의사당,1,0,2.0,0.9,1550
30분 권역,여의도,신길,1,0,2.2,1.0,1550
30분 권역,여의도,여의나루,1,0,2.2,1.0,1550
30분 권역,여의도,대방,3,1,3.1,1.4,1550
30분 권역,여의도,노량진,2,0,4.4,2.0,1550
30분 권역,여의도,영등포,3,1,4.4,2.0,1550
30분 권역,여의도,영등포시장,2,0,4.6,2.1,1550
30분 권역,여의도,서울지방병무청,4,1,4.8,2.2,1550
30분 권역,여의도,당산,2,0,5.3,2.4,1550
30분 권역,여의도,마포,2,0,6.2,2.8,1550
30분 권역,여의도,보라매,5,1,6.2,2.8,1550
30분 권역,여의도,영등포구청,3,0,6.6,3.0,1550
30분 권역,여의도,노들,3,0,6.8,3.1,1550
30분 권역,여의도,선유도,3,0,7.5,3.4,1550
30분 권역,여의도,신도림,6,1,7.7,3.5,1550
30분 권역,여의도,보라매공원,6,1,7.7,3.5,1550
30분 권역,여의도,공덕,3,0,7.9,3.6,1550
30분 권역,여의도,신대방삼거리,7,2,7.9,3.6,1550
30분 권역,여의도,신풍,7,2,8.1,3.7,1550
30분 권역,여의도,양평,4,0,8.4,3.8,1550
30분 권역,여의도,문래,5,1,8.6,3.9,1550
30분 권역,여의도,보라매병원,7,1,9.0,4.1,1550
30분 권역,여의도,흑석,4,0,9.2,4.2,1550
30분 권역,여의도,합정,6,1,9.7,4.4,1550
30분 권역,여의도,대흥,5,1,9.9,4.5,1550
30분 권역,여의도,도림천,9,2,9.9,4.5,1550
30분 권역,여의도,효창공원앞,5,1,9.9,4.5,1550
30분 권역,여의도,구로,5,1,10.1,4.6,1550
30분 권역,여의도,용산,4,1,10.1,4.6,1550
30분 권역,여의도,신목동,4,0,10.1,4.6,1550
30분 권역,여의도,당곡,8,1,10.1,4.6,1550
30분 권역,여의도,애오개,4,0,10.3,4.7,1550
30분 권역,여의도,장승배기,8,2,10.6,4.8,1550
30분 권역,여의도,오목교,5,0,10.8,4.9,1550
30분 권역,여의도,대림,7,1,11.2,5.1,1550
30분 권역,여의도,신림,9,1,11.4,5.2,1550
30분 권역,여의도,망원,9,1,11.4,5.2,1550
30분 권역,여의도,상수,7,1,11.4,5.2,1550
30분 권역,여의도,광흥창,6,1,12.1,5.5,1550
30분 권역,여의도,홍대입구,7,1,12.1,5.5,1550
30분 권역,여의도,서강대,0,0,12.1,5.5,1550
30분 권역,여의도,염창,5,0,12.1,5.5,1550
30분 권역,여의도,충정로,5,0,12.3,5.6,1550
30분 권역,여의도,동작,5,0,12.3,5.6,1550
30분 권역,여의도,삼각지,6,1,12.5,5.7,1550
30분 권역,여의도,상도,9,2,12.5,5.7,1550
30분 권역,여의도,목동,6,0,12.8,5.8,1550
30분 권역,여의도,구일,0,0,13.2,6.0,1550
30분 권역,여의도,서원,10,1,13.4,6.1,1550
30분 권역,여의도,남영,5,1,13.4,6.1,1550
30분 권역,여의도,마포구청,10,1,13.6,6.2,1550
30분 권역,여의도,남구로,9,2,13.6,6.2,1550
30분 권역,여의도,양천구청,10,2,13.6,6.2,1550
30분 권역,여의도,구로디지털단지,8,1,13.6,6.2,1550
30분 권역,여의도,봉천,11,2,13.9,6.3,1550
30분 권역,여의도,서대문,6,0,13.9,6.3,1550
30분 권역,여의도,아현,7,1,14.1,6.4,1550
30분 권역,여의도,신용산,8,1,14.1,6.4,1550
30분 권역,여의도,등촌,6,0,14.1,6.4,1550
30분 권역,여의도,이촌,7,1,14.3,6.5,1550
30분 권역,여의도,신정,7,0,14.5,6.6,1550
30분 권역,여의도,구반포,6,0,14.5,6.6,1550
30분 권역,여의도,숭실대입구,10,2,14.5,6.6,1550
30분 권역,여의도,시청,7,1,14.7,6.7,1550
30분 권역,여의도,녹사평,7,1,15.0,6.8,1550
30분 권역,여의도,신촌,8,1,15.0,6.8,1550
30분 권역,여의도,서울역,6,1,15.2,6.9,1550
30분 권역,여의도,숙대입구,8,2,15.2,6.9,1550
