C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,합계,100,00,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,100,00,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,100,00,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,12,05,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,13,05,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,13.7,05,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,4.5,10,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,4.6,10,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,4.7,10,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,6.5,20,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,6.5,20,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,6.1,20,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,5.7,30,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,5.5,30,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,5.6,30,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,5.4,40,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,5,40,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,4.9,40,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.9,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.5,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.1,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,24.9,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,23.7,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,22.1,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,16.2,70,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
