opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,origin_emd_count,useStf,useTm
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,07,00,5.0,11.0,1617.2727272727273
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,07,15,9.0,16.0,1739.625
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,07,30,9.0,17.0,1884.6470588235295
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,07,45,14.0,30.0,1918.2
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,08,00,15.0,36.0,1727.3333333333333
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,08,15,11.0,33.0,1683.5151515151515
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,08,30,11.0,27.0,1747.111111111111
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,08,45,10.0,33.0,1557.6060606060605
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,09,00,14.0,30.0,1762.9666666666667
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,09,15,11.0,21.0,1617.904761904762
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,09,30,9.0,43.0,1726.2790697674418
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,09,45,13.0,36.0,1666.75
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,10,00,8.0,28.0,2053.6071428571427
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,10,15,8.0,34.0,1969.6764705882354
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,10,30,9.0,46.0,1819.304347826087
20260224,11,서울특별시,11110,종로구,11,서울특별시,11200,성동구,1120011500,성수동2가,10,45,14.0,49.0,1944.5510204081634
