개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,점포구분명,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,2008300012907500001,2008-03-05,,폐업,2014-11-26,,,,18776.28,110-841,,크레타 망고 아울렛,전문점,I,2025-12-15 16:15:28,,폐업처리,3,03,0221713182,,201273.887781838    ,452163.292543039    ,서울특별시 종로구 창신동 328번지 18호,2014-11-27 09:20:40
3000000,2022300020207500001,2022-06-28,,영업/정상,,,,,297,,03025,GS THE FRESH 무악현대점,구분없음,I,2025-12-15 16:15:28,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",정상영업,1,01,0220062678,준대규모점포,,,서울특별시 종로구 무악동 82 무악현대아파트,2025-04-25 11:24:51
3000000,1971300007607500003,1971-09-06,,휴업,,,,,6194,,,종로세운상가,그 밖의 대규모점포,I,2025-12-15 16:15:28,,휴업처리,2,02,0222785356,,,,서울특별시 종로구 종로3가 175번지 4호   ,2007-07-21 10:27:56
3000000,1987000007607500005,1987-12-07,,휴업,,,,,,,,숭인제일아케이트,그 밖의 대규모점포,I,2025-12-15 16:15:28,,휴업처리,2,02,0313395465,,,,서울특별시 종로구 창신동 766호   ,2007-07-21 10:27:56
3000000,1987300007607500002,1987-10-30,,휴업,,,,,,,,광장시장주식회사,그 밖의 대규모점포,I,2025-12-15 16:15:28,,휴업처리,2,02,0222670291,,,,   호   ,2007-07-21 10:27:56
3000000,1991300007607500001,1991-07-31,,영업/정상,,,,,55081.94,110-784,,동대문종합시장,그 밖의 대규모점포,I,2026-01-07 22:48:10,서울특별시 종로구 종로 266 (종로6가),정상영업,1,01,0222620209,대규모점포,200717.7490316      ,452011.865092338    ,서울특별시 종로구 종로6가 289번지 3 호,2026-01-06 13:54:03
3000000,2003300007607500003,2003-10-20,,영업/정상,,,,,4612.66,110-126,,동대문종합시장 신관,복합쇼핑몰,I,2026-01-06 22:48:10,서울특별시 종로구 종로 272 (종로6가),정상영업,1,01,0222770114,대규모점포,200647.01325068     ,452054.764927519    ,서울특별시 종로구 종로6가 289번지 57호,2026-01-05 13:50:49
3000000,2003300012907500001,2003-03-04,,영업/정상,,,,,16128.75,110-833,,광장주식회사,시장,I,2025-12-15 16:15:28,,정상영업,1,01,22670291,,199837.41426735     ,451974.128468485    ,서울특별시 종로구 예지동 6번지 1호,2007-08-01 17:39:46
3000000,2004300007607500002,2004-04-30,,영업/정상,,,,,4674.66,110-714,,종로1번지아케이트,전문점,I,2025-12-15 16:15:28,서울특별시 종로구 종로 1 (종로1가),정상영업,1,01,023973445,대규모점포,,,서울특별시 종로구 종로1가 1번지,2025-04-21 17:34:19
3000000,2004300007607500003,2004-04-30,,영업/정상,,,,,,,,영풍문고,대형마트,I,2025-12-15 16:15:28,,정상영업,1,01,023995591,,,,서울특별시 종로구 서린동 33호   ,2007-07-21 10:27:56
