opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,origin_emd_count,useStf,useTm
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,00,00,1,2,1921.0
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,00,15,2,4,1883.5
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,03,45,1,1,2389.0
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,04,15,1,1,2692.0
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,04,30,2,5,1826.0
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,04,45,3,4,1712.5
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,05,00,2,2,1541.5
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,05,15,4,5,1929.4
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,05,30,5,6,2087.5
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,05,45,2,4,2068.75
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,06,00,6,11,2043.64
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,06,15,10,15,2298.93
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,06,30,9,13,1859.23
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,06,45,13,31,2136.81
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,07,00,24,68,1987.09
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,07,15,24,52,1867.42
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,07,30,22,57,1837.81
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,07,45,26,81,1969.44
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,08,00,27,82,2104.79
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,08,15,24,68,1535.96
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,08,30,18,55,1583.55
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,08,45,18,27,2032.48
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,09,00,20,47,1888.57
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,09,15,15,44,1558.75
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,09,30,17,33,2019.91
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,09,45,13,21,1610.95
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,10,00,13,32,1876.69
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,10,15,10,34,1412.85
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,10,30,12,51,1469.39
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,10,45,13,46,1348.07
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,11,00,17,92,1488.33
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,11,15,14,61,1509.39
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,11,30,18,53,1693.09
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,11,45,13,47,1833.06
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,12,00,15,58,1956.69
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,12,15,14,55,1712.98
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,12,30,17,78,1643.88
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,12,45,19,101,1494.36
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,13,00,24,135,1661.29
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,13,15,16,127,1649.44
20260224,11,서울특별시,11110,종로구,11,서울특별시,11560,영등포구,1156011000,여의도동,13,30,17,67,1684.76
