gu,hospital_count,park_count,hospital_points,park_count_detail,retail_license_count,범죄대분류,범죄중분류,district_name,crime_count,crime_score_proxy,응답자특성,종합만족도,민원분야,112신고처리분야,police_satisfaction_score,redevelopment_count,active_stage_count
강남구,3659.0,7.0,,7.0,4.0,,,,834.3421052631579,834.3421052631579,,93.1,96.65,89.45,93.06666666666666,24,24
강동구,1266.0,7.0,42.0,7.0,2.0,,,,296.5,296.5,,94.4,97.4,91.3,94.36666666666667,13,13
강북구,645.0,3.0,,2.0,1.0,,,,226.8421052631579,226.8421052631579,,94.2,97.0,91.3,94.16666666666667,9,9
강서구,1273.0,10.0,,10.0,,,,,396.6578947368421,396.6578947368421,,92.6,96.1,89.1,92.59999999999998,6,6
관악구,964.0,2.0,,2.0,2.0,,,,435.2368421052632,435.2368421052632,,93.5,96.7,90.2,93.46666666666665,10,10
광진구,798.0,2.0,,2.0,,,,,257.9736842105263,257.9736842105263,,94.1,96.9,91.3,94.10000000000001,6,6
구로구,820.0,4.0,,4.0,,,,,308.57894736842104,308.57894736842104,,93.4,95.4,91.3,93.36666666666667,16,16
금천구,519.0,4.0,,4.0,2.0,,,,235.92105263157896,235.92105263157896,,94.0,96.6,91.3,93.96666666666665,4,4
노원구,1003.0,2.0,,2.0,,,,,263.2894736842105,263.2894736842105,,94.2,97.5,91.0,94.23333333333333,9,9
도봉구,510.0,6.0,,6.0,,,,,167.26315789473685,167.26315789473685,,93.4,96.8,90.0,93.39999999999999,7,7
동대문구,894.0,4.0,,4.0,1.0,,,,284.6578947368421,284.6578947368421,,94.6,97.4,91.9,94.63333333333333,26,26
동작구,820.0,7.0,,7.0,,,,,237.21052631578948,237.21052631578948,,93.6,96.3,90.9,93.59999999999998,15,15
마포구,1024.0,5.0,,5.0,3.0,,,,354.94736842105266,354.94736842105266,,92.1,95.3,88.9,92.09999999999998,19,19
서대문구,610.0,4.0,,4.0,,,,,196.1315789473684,196.1315789473684,,94.2,96.8,91.6,94.2,22,22
서초구,1893.0,6.0,,6.0,1.0,,,,453.63157894736844,453.63157894736844,,93.6,96.69999999999999,90.44999999999999,93.58333333333333,28,28
성동구,649.0,5.0,,5.0,5.0,,,,231.52631578947367,231.52631578947367,,93.8,96.3,91.2,93.76666666666667,15,15
성북구,766.0,3.0,,3.0,,,,,241.0,241.0,,93.75,96.69999999999999,90.75,93.73333333333333,24,24
송파구,1711.0,7.0,58.0,7.0,,,,,482.13157894736844,482.13157894736844,,93.6,97.1,90.1,93.59999999999998,25,25
양천구,896.0,5.0,,5.0,,,,,259.7105263157895,259.7105263157895,,94.3,96.8,91.7,94.26666666666667,24,24
영등포구,1141.0,5.0,,5.0,1.0,,,,407.0263157894737,407.0263157894737,,93.7,96.5,90.8,93.66666666666667,42,42
용산구,447.0,2.0,,2.0,1.0,,,,282.5263157894737,282.5263157894737,,92.1,96.0,88.2,92.10000000000001,25,25
은평구,951.0,7.0,,7.0,,,,,281.7894736842105,281.7894736842105,,94.2,97.0,91.35,94.18333333333332,18,18
종로구,669.0,12.0,,12.0,1.0,,,,263.55263157894734,263.55263157894734,,93.9,96.9,90.9,93.90000000000002,23,23
중구,805.0,4.0,,4.0,1.0,,,,261.0263157894737,261.0263157894737,,93.6,96.5,90.7,93.60000000000001,35,35
중랑구,765.0,5.0,,5.0,,,,,282.7368421052632,282.7368421052632,,93.9,96.8,91.0,93.89999999999999,11,11
